Row,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25
P2,0.3362,0.1209,0.3584,0.2234,0.2381,0.3227,0.2410,0.2831,0.4678,0.3862,0.4378,0.3339,0.5256,0.2170,0.2400,0.3657,0.3614,0.2449,0.3038,0.2697,0.4291,0.4038,0.2757,0.3186,0.3309
PM,0.3522,0.1513,0.2584,0.3070,0.2431,0.1594,0.3400,0.1867,0.4542,0.2328,0.3021,0.4827,0.5422,0.2725,0.4012,0.5748,0.2946,0.2897,0.3877,0.3919,0.4006,0.4869,0.3440,0.5319,0.2612
PG,0.2878,0.2241,0.3405,0.3260,0.2822,0.2043,0.3223,0.1326,0.2721,0.3429,0.3724,0.6936,0.7707,0.2012,0.3535,0.5433,0.1766,0.3038,0.4391,0.4858,0.2679,0.3751,0.3345,0.2803,0.2792
CM,0.6104,0.1873,0.3756,0.2157,0.2729,0.3906,0.2758,0.1968,0.2857,0.4523,0.5509,0.7950,0.6469,0.4375,0.2090,0.4844,0.2804,0.3548,0.4369,0.4884,0.3982,0.3463,0.4358,0.4048,0.3492
PMM,0.4877,0.2706,0.5043,0.3802,0.3482,0.2074,0.2233,0.2915,0.5465,0.5568,0.2232,0.4984,0.9656,0.4201,0.2705,0.5716,0.3118,0.3835,0.2955,0.5015,0.4311,0.3073,0.3678,0.6733,0.1980
PMG,0.2337,0.2646,0.3940,0.3383,0.1905,0.2706,0.1552,0.2036,0.4206,0.5485,0.3050,0.5661,0.8580,0.4624,0.1720,0.7036,0.2585,0.2746,0.4107,0.3569,0.3521,0.3538,0.4108,0.3722,0.3503
PGG,0.2441,0.1304,0.3178,0.2567,0.2519,0.3813,0.3092,0.2218,0.3315,0.2902,0.4488,0.5102,0.5401,0.2745,0.2992,0.6090,0.2984,0.2795,0.3538,0.3897,0.2049,0.3279,0.2292,0.3469,0.1340
CMM,0.2859,0.2026,0.3660,0.2789,0.2191,0.1608,0.2564,0.2538,0.4193,0.2893,0.5511,0.4095,0.6690,0.4618,0.3286,0.5723,0.3676,0.3551,0.4873,0.3631,0.3632,0.3858,0.4671,0.2354,0.2564
P4,0.3896,0.1783,0.4650,0.2668,0.1710,0.1416,0.3268,0.2621,0.3746,0.3206,0.5424,0.3766,0.6874,0.2507,0.3522,0.5247,0.2320,0.3029,0.3874,0.4421,0.2578,0.3813,0.4712,0.3629,0.1477
P4M,0.4834,0.2377,0.4965,0.3181,0.2258,0.2142,0.4052,0.3158,0.4580,0.4940,0.3791,0.2855,0.7782,0.6089,0.3675,0.6624,0.2090,0.3694,0.5216,0.3339,0.6643,0.2960,0.5218,0.4105,0.2366
P4G,0.2747,0.1937,0.4196,0.3106,0.1650,0.3954,0.2803,0.3024,0.6337,0.2155,0.3262,0.5595,0.8336,0.3250,0.2650,0.5393,0.2050,0.5283,0.4030,0.5408,0.3875,0.4333,0.4391,0.3783,0.3014
P3,0.3130,0.2543,0.3466,0.2964,0.2584,0.2997,0.3010,0.1635,0.2924,0.2290,0.3493,0.3907,0.6121,0.2098,0.2626,0.4503,0.2386,0.3127,0.2846,0.2593,0.2257,0.3013,0.6835,0.4395,0.2230
P3M1,0.4540,0.2178,0.2531,0.2174,0.1635,0.4013,0.2379,0.4231,0.3992,0.3744,0.2711,0.4340,1.0478,0.3708,0.2804,0.5413,0.3368,0.3747,0.3935,0.4837,0.4167,0.3783,0.5395,0.4085,0.4077
P31M,0.2540,0.2356,0.3206,0.4051,0.1793,0.1767,0.2769,0.3121,0.2994,0.4487,0.3793,0.7196,0.6984,0.4392,0.2994,0.6104,0.2326,0.5176,0.4585,0.2798,0.3183,0.4266,0.3403,0.3415,0.2565
P6,0.4119,0.2088,0.2998,0.3767,0.1745,0.2444,0.2346,0.1947,0.3498,0.3987,0.1501,0.3322,0.5137,0.2612,0.2806,0.6455,0.2609,0.3961,0.4224,0.4254,0.2895,0.2636,0.5330,0.4917,0.2501
P6M,0.2416,0.1743,0.3589,0.2629,0.1883,0.1995,0.2273,0.3610,0.5203,0.3315,0.2224,0.6861,0.8348,0.4546,0.2418,0.4438,0.2861,0.5972,0.3481,0.3843,0.5627,0.2919,0.6221,0.5196,0.2142
