person, group, rep, n, t, t1, t2, correct
1, CM, 0, 1, -0.602, 0.217, 0.217, 1
1, CM, 0, 2, -0.602, 0.217, 0.217, 1
1, CM, 0, 3, -0.602, 0.217, 0.217, 1
1, CM, 0, 4, -0.602, 0.217, 0.217, 0
1, CM, 0, 5, -0.602, 0.217, 0.217, 1
1, CM, 0, 6, -0.602, 0.217, 0.217, 1
1, CM, 0, 7, -0.602, 0.217, 0.217, 1
1, CM, 0, 8, -0.602, 0.217, 0.217, 1
1, CM, 0, 9, -0.602, 0.217, 0.217, 1
1, CM, 0, 10, -0.602, 0.217, 0.217, 1
1, CM, 0, 11, -0.602, 0.217, 0.217, 1
1, CM, 0, 12, -0.602, 0.217, 0.217, 1
1, CM, 0, 13, -0.602, 0.217, 0.217, 1
1, CM, 0, 14, -0.602, 0.217, 0.217, 1
1, CM, 0, 15, -0.602, 0.217, 0.217, 0
1, CM, 2, 1, -0.736, 0.184, 0.183, 1
1, CM, 1, 1, -0.380, 0.417, 0.417, 1
1, CM, 3, 1, -1.176, 0.067, 0.067, 1
1, CM, 4, 1, -1.777, 0.017, 0.017, 1
1, CM, 1, 2, -1.000, 0.100, 0.100, 1
1, CM, 3, 2, -1.776, 0.017, 0.017, 0
1, CM, 2, 2, -1.477, 0.033, 0.033, 0
1, CM, 4, 2, -1.776, 0.017, 0.017, 0
1, CM, 4, 3, -0.573, 0.267, 0.267, 1
1, CM, 1, 3, -1.777, 0.017, 0.017, 0
1, CM, 3, 3, -0.602, 0.250, 0.250, 1
1, CM, 2, 3, -0.331, 0.467, 0.467, 1
1, CM, 4, 4, -1.000, 0.100, 0.100, 1
1, CM, 2, 4, -0.736, 0.184, 0.183, 1
1, CM, 3, 4, -1.176, 0.067, 0.067, 1
1, CM, 1, 4, -0.823, 0.150, 0.150, 1
1, CM, 4, 5, -1.477, 0.033, 0.033, 0
1, CM, 3, 5, -1.778, 0.017, 0.017, 0
1, CM, 2, 5, -0.999, 0.100, 0.100, 1
1, CM, 1, 5, -1.301, 0.050, 0.050, 1
1, CM, 2, 6, -1.301, 0.050, 0.050, 1
1, CM, 3, 6, -1.301, 0.050, 0.050, 1
1, CM, 1, 6, -1.778, 0.017, 0.017, 0
1, CM, 4, 6, -0.875, 0.133, 0.133, 1
