person, group, rep, n, t, t1, t2, correct
1, PGG, 0, 1, -0.602, 0.217, 0.217, 1
1, PGG, 0, 2, -0.602, 0.217, 0.217, 1
1, PGG, 0, 3, -0.602, 0.217, 0.217, 1
1, PGG, 0, 4, -0.602, 0.217, 0.217, 1
1, PGG, 0, 5, -0.602, 0.217, 0.217, 1
1, PGG, 0, 6, -0.602, 0.217, 0.217, 1
1, PGG, 0, 7, -0.602, 0.217, 0.217, 0
1, PGG, 0, 8, -0.602, 0.217, 0.217, 0
1, PGG, 0, 9, -0.602, 0.217, 0.217, 1
1, PGG, 0, 10, -0.602, 0.217, 0.217, 1
1, PGG, 0, 11, -0.602, 0.217, 0.217, 0
1, PGG, 0, 12, -0.602, 0.217, 0.217, 1
1, PGG, 0, 13, -0.602, 0.217, 0.217, 1
1, PGG, 0, 14, -0.602, 0.217, 0.217, 1
1, PGG, 0, 15, -0.602, 0.217, 0.217, 1
1, PGG, 2, 1, -0.736, 0.183, 0.184, 1
1, PGG, 1, 1, -0.380, 0.417, 0.417, 1
1, PGG, 3, 1, -1.175, 0.067, 0.067, 1
1, PGG, 4, 1, -1.777, 0.017, 0.017, 0
1, PGG, 1, 2, -0.999, 0.100, 0.100, 1
1, PGG, 3, 2, -1.776, 0.017, 0.017, 1
1, PGG, 2, 2, -1.477, 0.033, 0.033, 1
1, PGG, 4, 2, -0.455, 0.350, 0.350, 1
1, PGG, 4, 3, -0.823, 0.150, 0.150, 1
1, PGG, 1, 3, -1.776, 0.017, 0.017, 1
1, PGG, 3, 3, -1.777, 0.017, 0.017, 1
1, PGG, 2, 3, -1.778, 0.017, 0.017, 0
1, PGG, 4, 4, -1.176, 0.067, 0.067, 1
1, PGG, 2, 4, -0.875, 0.133, 0.133, 1
1, PGG, 3, 4, -1.778, 0.017, 0.017, 0
1, PGG, 1, 4, -1.777, 0.017, 0.017, 0
1, PGG, 4, 5, -1.605, 0.033, 0.016, 1
1, PGG, 3, 5, -1.301, 0.050, 0.050, 0
1, PGG, 2, 5, -1.301, 0.050, 0.050, 1
1, PGG, 1, 5, -0.999, 0.100, 0.100, 1
1, PGG, 2, 6, -1.778, 0.017, 0.017, 1
1, PGG, 3, 6, -0.134, 0.734, 0.734, 1
1, PGG, 1, 6, -1.477, 0.033, 0.033, 0
1, PGG, 4, 6, -1.780, 0.017, 0.016, 1
1, PGG, 1, 7, -0.875, 0.134, 0.133, 1
1, PGG, 2, 7, -1.780, 0.017, 0.017, 0
1, PGG, 4, 7, -1.778, 0.017, 0.017, 1
1, PGG, 3, 7, -0.455, 0.350, 0.350, 0
1, PGG, 1, 8, -1.176, 0.067, 0.067, 1
1, PGG, 4, 8, -1.778, 0.017, 0.017, 1
1, PGG, 3, 8, -0.014, 0.968, 0.968, 1
1, PGG, 2, 8, -1.780, 0.017, 0.017, 1
1, PGG, 1, 9, -1.477, 0.033, 0.033, 0
1, PGG, 2, 9, -1.777, 0.017, 0.017, 0
1, PGG, 3, 9, -0.022, 0.951, 0.951, 1
1, PGG, 4, 9, -1.776, 0.017, 0.017, 1
1, PGG, 1, 10, -1.301, 0.050, 0.050, 1
1, PGG, 2, 10, -1.476, 0.033, 0.033, 0
1, PGG, 3, 10, -0.165, 0.684, 0.684, 1
1, PGG, 4, 10, -1.779, 0.017, 0.017, 0
1, PGG, 4, 11, -1.778, 0.017, 0.017, 0
1, PGG, 1, 11, -1.476, 0.033, 0.033, 1
1, PGG, 3, 11, -0.246, 0.567, 0.567, 1
1, PGG, 2, 11, -1.000, 0.100, 0.100, 0
1, PGG, 4, 12, -1.778, 0.017, 0.017, 0
1, PGG, 1, 12, -1.477, 0.033, 0.033, 0
1, PGG, 3, 12, -0.315, 0.484, 0.484, 1
1, PGG, 2, 12, -0.030, 0.934, 0.934, 1
1, PGG, 1, 13, -1.301, 0.050, 0.050, 0
1, PGG, 4, 13, -1.476, 0.033, 0.033, 1
1, PGG, 3, 13, -0.380, 0.417, 0.417, 1
1, PGG, 2, 13, -0.397, 0.400, 0.400, 1
1, PGG, 2, 14, -0.664, 0.217, 0.217, 1
1, PGG, 4, 14, -1.776, 0.017, 0.017, 1
1, PGG, 3, 14, -0.455, 0.350, 0.350, 0
1, PGG, 1, 14, -1.175, 0.067, 0.067, 0
1, PGG, 1, 15, -0.778, 0.167, 0.167, 1
1, PGG, 2, 15, -0.824, 0.150, 0.150, 1
1, PGG, 3, 15, -0.286, 0.517, 0.517, 0
1, PGG, 4, 15, -1.778, 0.017, 0.017, 1
1, PGG, 2, 16, -0.933, 0.117, 0.117, 1
1, PGG, 4, 16, -1.778, 0.017, 0.017, 0
1, PGG, 1, 16, -1.000, 0.100, 0.100, 0
1, PGG, 3, 16, -0.144, 0.717, 0.717, 1
1, PGG, 3, 17, -0.187, 0.651, 0.651, 1
1, PGG, 2, 17, -1.079, 0.083, 0.083, 1
1, PGG, 1, 17, -0.547, 0.284, 0.284, 0
1, PGG, 4, 17, -1.779, 0.017, 0.017, 0
1, PGG, 3, 18, -0.221, 0.601, 0.601, 1
1, PGG, 4, 18, -1.773, 0.017, 0.017, 0
1, PGG, 2, 18, -1.176, 0.067, 0.067, 0
1, PGG, 1, 18, -0.014, 0.968, 0.968, 1
1, PGG, 2, 19, -1.000, 0.100, 0.100, 0
1, PGG, 1, 19, -0.014, 0.968, 0.968, 1
1, PGG, 4, 19, -1.778, 0.017, 0.017, 1
1, PGG, 3, 19, -0.259, 0.551, 0.551, 1
1, PGG, 1, 20, -0.176, 0.667, 0.667, 1
1, PGG, 2, 20, -0.875, 0.133, 0.133, 0
1, PGG, 3, 20, -0.273, 0.534, 0.534, 1
1, PGG, 4, 20, -1.779, 0.017, 0.017, 0
1, PGG, 2, 21, -0.664, 0.217, 0.217, 1
1, PGG, 3, 21, -0.301, 0.500, 0.500, 1
1, PGG, 1, 21, -0.315, 0.484, 0.484, 1
1, PGG, 4, 21, -1.780, 0.017, 0.017, 0
1, PGG, 1, 22, -0.416, 0.384, 0.384, 1
1, PGG, 4, 22, -1.478, 0.033, 0.033, 0
1, PGG, 2, 22, -0.778, 0.167, 0.167, 1
1, PGG, 3, 22, -0.315, 0.484, 0.484, 0
1, PGG, 3, 23, -0.259, 0.551, 0.551, 1
1, PGG, 2, 23, -0.823, 0.150, 0.150, 1
1, PGG, 1, 23, -0.499, 0.317, 0.317, 1
1, PGG, 4, 23, -1.176, 0.067, 0.067, 0
1, PGG, 4, 24, -0.664, 0.217, 0.217, 1
1, PGG, 3, 24, -0.273, 0.534, 0.534, 0
1, PGG, 1, 24, -0.574, 0.267, 0.267, 1
1, PGG, 2, 24, -0.875, 0.133, 0.133, 0
1, PGG, 2, 25, -0.778, 0.167, 0.167, 1
1, PGG, 4, 25, -0.875, 0.133, 0.133, 0
1, PGG, 3, 25, -0.221, 0.601, 0.601, 1
1, PGG, 1, 25, -0.664, 0.217, 0.217, 1
1, PGG, 2, 26, -0.823, 0.150, 0.150, 1
1, PGG, 3, 26, -0.234, 0.584, 0.584, 1
1, PGG, 1, 26, -0.823, 0.150, 0.150, 0
1, PGG, 4, 26, -0.455, 0.350, 0.350, 1
1, PGG, 2, 27, -0.874, 0.134, 0.134, 1
1, PGG, 1, 27, -0.574, 0.267, 0.267, 1
1, PGG, 3, 27, -0.253, 0.567, 0.551, 1
1, PGG, 4, 27, -0.632, 0.234, 0.234, 1
1, PGG, 1, 28, -0.631, 0.234, 0.234, 1
1, PGG, 4, 28, -0.736, 0.184, 0.184, 1
1, PGG, 3, 28, -0.259, 0.550, 0.551, 1
1, PGG, 2, 28, -0.875, 0.133, 0.133, 1
1, PGG, 3, 29, -0.273, 0.534, 0.534, 1
1, PGG, 2, 29, -0.933, 0.117, 0.117, 1
1, PGG, 4, 29, -0.823, 0.150, 0.150, 1
1, PGG, 1, 29, -0.698, 0.200, 0.200, 0
1, PGG, 4, 30, -0.875, 0.133, 0.133, 1
1, PGG, 3, 30, -0.286, 0.517, 0.517, 1
1, PGG, 1, 30, -0.574, 0.267, 0.267, 1
1, PGG, 2, 30, -0.933, 0.117, 0.117, 0
