person, group, rep, n, t, t1, t2, correct
1, PMM, 0, 1, -0.602, 0.217, 0.217, 1
1, PMM, 0, 2, -0.602, 0.217, 0.217, 1
1, PMM, 0, 3, -0.602, 0.217, 0.217, 1
1, PMM, 0, 4, -0.602, 0.217, 0.217, 1
1, PMM, 0, 5, -0.602, 0.217, 0.217, 1
1, PMM, 0, 6, -0.602, 0.217, 0.217, 1
1, PMM, 0, 7, -0.602, 0.217, 0.217, 1
1, PMM, 0, 8, -0.602, 0.217, 0.217, 1
1, PMM, 0, 9, -0.602, 0.217, 0.217, 1
1, PMM, 0, 10, -0.602, 0.217, 0.217, 1
1, PMM, 0, 11, -0.602, 0.217, 0.217, 1
1, PMM, 0, 12, -0.602, 0.217, 0.217, 1
1, PMM, 0, 13, -0.602, 0.217, 0.217, 1
1, PMM, 0, 14, -0.602, 0.217, 0.217, 1
1, PMM, 0, 15, -0.602, 0.217, 0.217, 1
1, PMM, 2, 1, -0.736, 0.184, 0.183, 1
1, PMM, 1, 1, -0.380, 0.417, 0.417, 1
1, PMM, 3, 1, -1.176, 0.067, 0.067, 1
1, PMM, 4, 1, -1.779, 0.017, 0.017, 1
1, PMM, 1, 2, -1.000, 0.100, 0.100, 1
1, PMM, 3, 2, -1.779, 0.017, 0.017, 0
1, PMM, 2, 2, -1.477, 0.033, 0.033, 0
1, PMM, 4, 2, -1.778, 0.017, 0.017, 1
1, PMM, 4, 3, -1.778, 0.017, 0.017, 1
1, PMM, 1, 3, -1.777, 0.017, 0.017, 1
1, PMM, 3, 3, -0.631, 0.234, 0.234, 1
1, PMM, 2, 3, -0.331, 0.467, 0.467, 1
1, PMM, 4, 4, -1.780, 0.017, 0.017, 0
1, PMM, 2, 4, -0.736, 0.184, 0.184, 1
1, PMM, 3, 4, -1.176, 0.067, 0.067, 1
1, PMM, 1, 4, -1.777, 0.017, 0.017, 0
1, PMM, 4, 5, -1.301, 0.050, 0.050, 1
1, PMM, 3, 5, -1.778, 0.017, 0.017, 0
1, PMM, 2, 5, -1.000, 0.100, 0.100, 1
1, PMM, 1, 5, -1.000, 0.100, 0.100, 1
1, PMM, 2, 6, -1.301, 0.050, 0.050, 1
1, PMM, 3, 6, -1.300, 0.050, 0.050, 1
1, PMM, 1, 6, -1.477, 0.033, 0.033, 1
1, PMM, 4, 6, -1.778, 0.017, 0.017, 1
1, PMM, 1, 7, -1.777, 0.017, 0.017, 1
1, PMM, 2, 7, -1.477, 0.033, 0.033, 1
1, PMM, 4, 7, -1.777, 0.017, 0.017, 1
1, PMM, 3, 7, -1.778, 0.017, 0.017, 0
1, PMM, 1, 8, -1.776, 0.017, 0.017, 1
1, PMM, 4, 8, -1.777, 0.017, 0.017, 1
1, PMM, 3, 8, -1.786, 0.016, 0.016, 1
1, PMM, 2, 8, -1.779, 0.017, 0.017, 0
