person, group, rep, n, t, t1, t2, correct
2, P31M, 0, 1, -0.602, 0.217, 0.217, 1
2, P31M, 0, 2, -0.602, 0.217, 0.217, 1
2, P31M, 0, 3, -0.602, 0.217, 0.217, 1
2, P31M, 0, 4, -0.602, 0.217, 0.217, 1
2, P31M, 0, 5, -0.602, 0.217, 0.217, 0
2, P31M, 0, 6, -0.602, 0.217, 0.217, 1
2, P31M, 0, 7, -0.602, 0.217, 0.217, 1
2, P31M, 0, 8, -0.602, 0.217, 0.217, 0
2, P31M, 0, 9, -0.602, 0.217, 0.217, 1
2, P31M, 0, 10, -0.602, 0.217, 0.217, 0
2, P31M, 0, 11, -0.602, 0.217, 0.217, 0
2, P31M, 0, 12, -0.602, 0.217, 0.217, 1
2, P31M, 0, 13, -0.602, 0.217, 0.217, 1
2, P31M, 0, 14, -0.602, 0.217, 0.217, 1
2, P31M, 0, 15, -0.602, 0.217, 0.217, 1
2, P31M, 4, 1, -1.779, 0.017, 0.017, 0
2, P31M, 1, 1, -0.380, 0.417, 0.417, 1
2, P31M, 3, 1, -1.176, 0.067, 0.067, 0
2, P31M, 2, 1, -0.736, 0.184, 0.184, 0
2, P31M, 4, 2, -0.455, 0.350, 0.350, 1
2, P31M, 1, 2, -0.999, 0.100, 0.100, 0
2, P31M, 3, 2, -0.014, 0.968, 0.968, 0
2, P31M, 2, 2, -0.014, 0.968, 0.968, 1
2, P31M, 2, 3, -0.014, 0.968, 0.968, 1
2, P31M, 1, 3, -0.014, 0.968, 0.968, 0
2, P31M, 4, 3, -0.823, 0.150, 0.150, 1
2, P31M, 3, 3, -0.014, 0.968, 0.968, 1
2, P31M, 3, 4, -0.014, 0.968, 0.968, 0
2, P31M, 4, 4, -1.176, 0.067, 0.067, 0
2, P31M, 1, 4, -0.014, 0.968, 0.968, 0
2, P31M, 2, 4, -0.198, 0.634, 0.634, 1
2, P31M, 2, 5, -0.346, 0.451, 0.451, 0
2, P31M, 4, 5, -0.602, 0.250, 0.250, 1
2, P31M, 1, 5, -0.014, 0.968, 0.968, 0
2, P31M, 3, 5, -0.014, 0.968, 0.968, 1
2, P31M, 2, 6, -0.014, 0.968, 0.968, 0
2, P31M, 3, 6, -0.014, 0.968, 0.968, 0
2, P31M, 1, 6, -0.014, 0.968, 0.968, 0
2, P31M, 4, 6, -0.823, 0.150, 0.150, 0
2, P31M, 3, 7, -0.014, 0.968, 0.968, 0
2, P31M, 4, 7, -0.380, 0.417, 0.417, 0
2, P31M, 1, 7, -0.014, 0.968, 0.968, 1
2, P31M, 2, 7, -0.014, 0.968, 0.968, 1
2, P31M, 3, 8, -0.014, 0.968, 0.968, 1
2, P31M, 1, 8, -0.014, 0.968, 0.968, 0
2, P31M, 2, 8, -0.014, 0.968, 0.968, 0
2, P31M, 4, 8, -0.014, 0.968, 0.968, 0
2, P31M, 3, 9, -0.014, 0.968, 0.968, 1
2, P31M, 4, 9, -0.014, 0.968, 0.968, 1
2, P31M, 2, 9, -0.014, 0.968, 0.968, 0
2, P31M, 1, 9, -0.014, 0.968, 0.968, 1
2, P31M, 3, 10, -0.014, 0.968, 0.968, 0
2, P31M, 4, 10, -0.014, 0.968, 0.968, 0
2, P31M, 2, 10, -0.014, 0.968, 0.968, 1
2, P31M, 1, 10, -0.014, 0.968, 0.968, 1
2, P31M, 2, 11, -0.014, 0.968, 0.968, 0
2, P31M, 4, 11, -0.014, 0.968, 0.968, 1
2, P31M, 3, 11, -0.014, 0.968, 0.968, 1
2, P31M, 1, 11, -0.014, 0.968, 0.968, 1
2, P31M, 2, 12, -0.014, 0.968, 0.968, 1
2, P31M, 1, 12, -0.018, 0.951, 0.968, 0
2, P31M, 3, 12, -0.014, 0.968, 0.968, 1
2, P31M, 4, 12, -0.014, 0.968, 0.968, 0
2, P31M, 3, 13, -0.014, 0.968, 0.968, 1
2, P31M, 1, 13, -0.014, 0.968, 0.968, 0
2, P31M, 4, 13, -0.014, 0.968, 0.968, 0
2, P31M, 2, 13, -0.014, 0.968, 0.968, 0
2, P31M, 2, 14, -0.014, 0.968, 0.968, 0
2, P31M, 3, 14, -0.014, 0.968, 0.968, 1
2, P31M, 1, 14, -0.014, 0.968, 0.968, 1
2, P31M, 4, 14, -0.014, 0.968, 0.968, 1
2, P31M, 2, 15, -0.014, 0.968, 0.968, 0
2, P31M, 3, 15, -0.014, 0.968, 0.968, 1
2, P31M, 1, 15, -0.014, 0.968, 0.968, 0
2, P31M, 4, 15, -0.014, 0.968, 0.968, 1
2, P31M, 4, 16, -0.014, 0.968, 0.968, 0
2, P31M, 1, 16, -0.014, 0.968, 0.968, 0
2, P31M, 3, 16, -0.014, 0.968, 0.968, 0
2, P31M, 2, 16, -0.014, 0.968, 0.968, 1
2, P31M, 2, 17, -0.014, 0.968, 0.968, 0
2, P31M, 4, 17, -0.014, 0.968, 0.968, 1
2, P31M, 1, 17, -0.014, 0.968, 0.968, 1
2, P31M, 3, 17, -0.018, 0.968, 0.951, 0
2, P31M, 1, 18, -0.014, 0.968, 0.968, 1
2, P31M, 4, 18, -0.018, 0.968, 0.951, 1
2, P31M, 2, 18, -0.014, 0.968, 0.968, 1
2, P31M, 3, 18, -0.014, 0.968, 0.968, 0
2, P31M, 2, 19, -0.014, 0.968, 0.968, 0
2, P31M, 3, 19, -0.014, 0.968, 0.968, 1
2, P31M, 1, 19, -0.014, 0.968, 0.968, 1
2, P31M, 4, 19, -0.014, 0.968, 0.968, 1
2, P31M, 2, 20, -0.014, 0.968, 0.968, 1
2, P31M, 3, 20, -0.014, 0.968, 0.968, 1
2, P31M, 1, 20, -0.014, 0.968, 0.968, 1
2, P31M, 4, 20, -0.014, 0.968, 0.968, 1
2, P31M, 2, 21, -0.014, 0.968, 0.968, 1
2, P31M, 3, 21, -0.014, 0.968, 0.968, 1
2, P31M, 4, 21, -0.014, 0.968, 0.968, 1
