person, group, rep, n, t, t1, t2, correct
2, P3M1, 0, 1, -0.602, 0.217, 0.217, 0
2, P3M1, 0, 2, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 3, -0.602, 0.217, 0.217, 0
2, P3M1, 0, 4, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 5, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 6, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 7, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 8, -0.602, 0.217, 0.217, 0
2, P3M1, 0, 9, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 10, -0.602, 0.217, 0.217, 0
2, P3M1, 0, 11, -0.602, 0.217, 0.217, 0
2, P3M1, 0, 12, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 13, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 14, -0.602, 0.217, 0.217, 1
2, P3M1, 0, 15, -0.602, 0.217, 0.217, 1
2, P3M1, 4, 1, -1.778, 0.017, 0.017, 1
2, P3M1, 1, 1, -0.380, 0.417, 0.417, 1
2, P3M1, 3, 1, -1.175, 0.067, 0.067, 1
2, P3M1, 2, 1, -0.736, 0.183, 0.183, 1
2, P3M1, 4, 2, -1.778, 0.017, 0.017, 0
2, P3M1, 1, 2, -1.000, 0.100, 0.100, 1
2, P3M1, 3, 2, -1.779, 0.017, 0.017, 1
2, P3M1, 2, 2, -1.476, 0.033, 0.033, 0
2, P3M1, 2, 3, -0.330, 0.467, 0.467, 0
2, P3M1, 1, 3, -1.778, 0.017, 0.017, 0
2, P3M1, 4, 3, -0.574, 0.267, 0.267, 0
2, P3M1, 3, 3, -1.777, 0.017, 0.017, 1
2, P3M1, 3, 4, -1.776, 0.017, 0.017, 0
2, P3M1, 4, 4, -0.014, 0.968, 0.968, 0
2, P3M1, 1, 4, -0.823, 0.150, 0.150, 0
2, P3M1, 2, 4, -0.014, 0.968, 0.968, 1
2, P3M1, 2, 5, -0.014, 0.968, 0.968, 1
2, P3M1, 4, 5, -0.014, 0.968, 0.968, 0
2, P3M1, 1, 5, -0.014, 0.968, 0.968, 1
2, P3M1, 3, 5, -1.301, 0.050, 0.050, 1
2, P3M1, 2, 6, -0.014, 0.968, 0.967, 0
2, P3M1, 3, 6, -1.778, 0.017, 0.017, 0
2, P3M1, 1, 6, -0.176, 0.667, 0.667, 1
2, P3M1, 4, 6, -0.014, 0.968, 0.968, 1
2, P3M1, 3, 7, -1.079, 0.083, 0.083, 1
2, P3M1, 4, 7, -0.014, 0.968, 0.968, 1
2, P3M1, 1, 7, -0.397, 0.400, 0.400, 1
2, P3M1, 2, 7, -0.014, 0.967, 0.968, 0
2, P3M1, 3, 8, -1.776, 0.017, 0.017, 0
2, P3M1, 1, 8, -0.547, 0.284, 0.284, 1
2, P3M1, 2, 8, -0.014, 0.968, 0.968, 1
2, P3M1, 4, 8, -0.014, 0.968, 0.968, 1
2, P3M1, 3, 9, -1.477, 0.033, 0.033, 1
2, P3M1, 4, 9, -0.014, 0.968, 0.968, 1
2, P3M1, 2, 9, -0.014, 0.968, 0.968, 1
2, P3M1, 1, 9, -0.664, 0.217, 0.217, 0
2, P3M1, 3, 10, -1.778, 0.017, 0.017, 1
2, P3M1, 4, 10, -0.014, 0.968, 0.968, 0
2, P3M1, 2, 10, -0.014, 0.968, 0.968, 1
2, P3M1, 1, 10, -0.397, 0.400, 0.400, 0
2, P3M1, 2, 11, -0.018, 0.951, 0.968, 0
2, P3M1, 4, 11, -0.014, 0.968, 0.968, 1
2, P3M1, 3, 11, -1.778, 0.017, 0.017, 1
2, P3M1, 1, 11, -0.014, 0.968, 0.968, 1
2, P3M1, 2, 12, -0.014, 0.968, 0.968, 1
2, P3M1, 1, 12, -0.165, 0.684, 0.684, 1
2, P3M1, 3, 12, -1.776, 0.017, 0.017, 0
2, P3M1, 4, 12, -0.014, 0.968, 0.968, 1
2, P3M1, 3, 13, -1.777, 0.017, 0.017, 1
2, P3M1, 1, 13, -0.259, 0.551, 0.551, 0
2, P3M1, 4, 13, -0.014, 0.968, 0.968, 1
2, P3M1, 2, 13, -0.014, 0.968, 0.968, 1
2, P3M1, 2, 14, -0.014, 0.968, 0.968, 0
2, P3M1, 3, 14, -1.778, 0.017, 0.017, 0
2, P3M1, 1, 14, -0.014, 0.968, 0.968, 1
2, P3M1, 4, 14, -0.014, 0.968, 0.968, 0
2, P3M1, 2, 15, -0.014, 0.968, 0.968, 0
2, P3M1, 3, 15, -1.778, 0.017, 0.017, 0
2, P3M1, 1, 15, -0.106, 0.784, 0.784, 1
2, P3M1, 4, 15, -0.014, 0.968, 0.968, 1
2, P3M1, 4, 16, -0.014, 0.968, 0.968, 0
2, P3M1, 1, 16, -0.165, 0.684, 0.684, 1
2, P3M1, 3, 16, -1.778, 0.017, 0.017, 1
2, P3M1, 2, 16, -0.014, 0.968, 0.968, 1
2, P3M1, 2, 17, -0.014, 0.968, 0.968, 0
2, P3M1, 4, 17, -0.014, 0.968, 0.968, 0
2, P3M1, 1, 17, -0.209, 0.617, 0.617, 0
2, P3M1, 3, 17, -1.779, 0.017, 0.017, 1
