person, group, rep, n, t, t1, t2, correct
2, PG, 0, 1, -0.602, 0.217, 0.217, 0
2, PG, 0, 2, -0.602, 0.217, 0.217, 1
2, PG, 0, 3, -0.602, 0.217, 0.217, 0
2, PG, 0, 4, -0.602, 0.217, 0.217, 1
2, PG, 0, 5, -0.602, 0.217, 0.217, 1
2, PG, 0, 6, -0.602, 0.217, 0.217, 1
2, PG, 0, 7, -0.602, 0.217, 0.217, 0
2, PG, 0, 8, -0.602, 0.217, 0.217, 1
2, PG, 0, 9, -0.602, 0.217, 0.217, 1
2, PG, 0, 10, -0.602, 0.217, 0.217, 1
2, PG, 0, 11, -0.602, 0.217, 0.217, 1
2, PG, 0, 12, -0.602, 0.217, 0.217, 1
2, PG, 0, 13, -0.602, 0.217, 0.217, 0
2, PG, 0, 14, -0.602, 0.217, 0.217, 0
2, PG, 0, 15, -0.602, 0.217, 0.217, 0
2, PG, 4, 1, -1.778, 0.017, 0.017, 1
2, PG, 1, 1, -0.380, 0.417, 0.417, 0
2, PG, 3, 1, -1.176, 0.067, 0.067, 1
2, PG, 2, 1, -0.736, 0.184, 0.183, 0
2, PG, 4, 2, -1.778, 0.017, 0.017, 0
2, PG, 1, 2, -0.014, 0.968, 0.968, 1
2, PG, 3, 2, -1.778, 0.017, 0.017, 1
2, PG, 2, 2, -0.014, 0.968, 0.968, 0
2, PG, 2, 3, -0.014, 0.968, 0.968, 1
2, PG, 1, 3, -0.014, 0.968, 0.968, 0
2, PG, 4, 3, -0.574, 0.267, 0.267, 0
2, PG, 3, 3, -1.778, 0.017, 0.017, 1
2, PG, 3, 4, -1.776, 0.017, 0.017, 0
2, PG, 4, 4, -0.014, 0.968, 0.968, 0
2, PG, 1, 4, -0.014, 0.968, 0.968, 1
2, PG, 2, 4, -0.014, 0.968, 0.968, 1
2, PG, 2, 5, -0.014, 0.968, 0.968, 0
2, PG, 4, 5, -0.014, 0.968, 0.968, 1
2, PG, 1, 5, -0.014, 0.968, 0.968, 0
2, PG, 3, 5, -1.301, 0.050, 0.050, 1
2, PG, 2, 6, -0.014, 0.968, 0.968, 0
2, PG, 3, 6, -1.777, 0.017, 0.017, 1
2, PG, 1, 6, -0.014, 0.968, 0.968, 0
2, PG, 4, 6, -0.018, 0.968, 0.951, 0
2, PG, 3, 7, -1.778, 0.017, 0.017, 1
2, PG, 4, 7, -0.014, 0.968, 0.968, 1
2, PG, 1, 7, -0.014, 0.968, 0.968, 1
2, PG, 2, 7, -0.014, 0.968, 0.968, 1
2, PG, 3, 8, -1.778, 0.017, 0.017, 1
2, PG, 1, 8, -0.014, 0.968, 0.968, 1
2, PG, 2, 8, -0.014, 0.968, 0.968, 1
2, PG, 4, 8, -0.014, 0.968, 0.968, 1
2, PG, 3, 9, -1.778, 0.017, 0.017, 0
2, PG, 4, 9, -0.014, 0.968, 0.968, 0
2, PG, 2, 9, -0.014, 0.968, 0.968, 1
2, PG, 1, 9, -0.014, 0.968, 0.968, 1
2, PG, 3, 10, -1.779, 0.017, 0.017, 1
2, PG, 4, 10, -0.014, 0.968, 0.968, 1
2, PG, 2, 10, -0.018, 0.951, 0.968, 1
2, PG, 1, 10, -0.014, 0.968, 0.968, 0
2, PG, 2, 11, -0.014, 0.968, 0.968, 0
2, PG, 4, 11, -0.014, 0.968, 0.968, 1
2, PG, 3, 11, -1.778, 0.017, 0.017, 1
2, PG, 1, 11, -0.014, 0.968, 0.968, 0
2, PG, 2, 12, -0.018, 0.951, 0.968, 0
2, PG, 1, 12, -0.018, 0.968, 0.951, 0
2, PG, 3, 12, -1.777, 0.017, 0.017, 1
2, PG, 4, 12, -0.014, 0.968, 0.968, 0
