person, group, rep, n, t, t1, t2, correct
2, PMG, 0, 1, -0.602, 0.217, 0.217, 0
2, PMG, 0, 2, -0.602, 0.217, 0.217, 1
2, PMG, 0, 3, -0.602, 0.217, 0.217, 1
2, PMG, 0, 4, -0.602, 0.217, 0.217, 1
2, PMG, 0, 5, -0.602, 0.217, 0.217, 0
2, PMG, 0, 6, -0.602, 0.217, 0.217, 1
2, PMG, 0, 7, -0.602, 0.217, 0.217, 1
2, PMG, 0, 8, -0.602, 0.217, 0.217, 0
2, PMG, 0, 9, -0.602, 0.217, 0.217, 0
2, PMG, 0, 10, -0.602, 0.217, 0.217, 0
2, PMG, 0, 11, -0.602, 0.217, 0.217, 0
2, PMG, 0, 12, -0.602, 0.217, 0.217, 0
2, PMG, 0, 13, -0.602, 0.217, 0.217, 0
2, PMG, 0, 14, -0.602, 0.217, 0.217, 1
2, PMG, 0, 15, -0.602, 0.217, 0.217, 0
2, PMG, 4, 1, -1.779, 0.017, 0.017, 1
2, PMG, 1, 1, -0.380, 0.417, 0.417, 0
2, PMG, 3, 1, -1.175, 0.067, 0.067, 0
2, PMG, 2, 1, -0.736, 0.184, 0.184, 1
2, PMG, 4, 2, -1.777, 0.017, 0.017, 0
2, PMG, 1, 2, -0.014, 0.968, 0.968, 0
2, PMG, 3, 2, -0.014, 0.968, 0.968, 1
2, PMG, 2, 2, -1.477, 0.033, 0.033, 1
2, PMG, 2, 3, -1.779, 0.017, 0.017, 0
2, PMG, 1, 3, -0.014, 0.968, 0.968, 1
2, PMG, 4, 3, -0.573, 0.267, 0.267, 0
2, PMG, 3, 3, -0.286, 0.517, 0.517, 0
2, PMG, 3, 4, -0.014, 0.968, 0.968, 1
2, PMG, 4, 4, -0.014, 0.968, 0.968, 1
2, PMG, 1, 4, -0.014, 0.968, 0.968, 1
2, PMG, 2, 4, -0.875, 0.134, 0.133, 1
2, PMG, 2, 5, -1.301, 0.050, 0.050, 1
2, PMG, 4, 5, -0.029, 0.934, 0.934, 0
2, PMG, 1, 5, -0.018, 0.951, 0.968, 0
2, PMG, 3, 5, -0.014, 0.968, 0.968, 0
2, PMG, 2, 6, -1.776, 0.017, 0.017, 1
2, PMG, 3, 6, -0.014, 0.968, 0.968, 1
2, PMG, 1, 6, -0.014, 0.968, 0.968, 1
2, PMG, 4, 6, -0.014, 0.968, 0.968, 1
2, PMG, 3, 7, -0.014, 0.968, 0.968, 1
2, PMG, 4, 7, -0.014, 0.968, 0.968, 1
2, PMG, 1, 7, -0.014, 0.968, 0.968, 1
2, PMG, 2, 7, -1.776, 0.017, 0.017, 1
2, PMG, 3, 8, -0.014, 0.968, 0.968, 0
2, PMG, 1, 8, -0.014, 0.968, 0.968, 0
2, PMG, 2, 8, -1.778, 0.017, 0.017, 1
2, PMG, 4, 8, -0.014, 0.968, 0.968, 1
2, PMG, 3, 9, -0.014, 0.968, 0.968, 0
2, PMG, 4, 9, -0.014, 0.968, 0.968, 1
2, PMG, 2, 9, -1.780, 0.017, 0.017, 0
2, PMG, 1, 9, -0.014, 0.968, 0.968, 1
2, PMG, 3, 10, -0.014, 0.968, 0.968, 0
2, PMG, 4, 10, -0.037, 0.918, 0.918, 0
2, PMG, 2, 10, -1.778, 0.017, 0.017, 0
2, PMG, 1, 10, -0.014, 0.968, 0.968, 1
2, PMG, 2, 11, -1.778, 0.017, 0.017, 0
2, PMG, 4, 11, -0.014, 0.968, 0.968, 1
2, PMG, 3, 11, -0.014, 0.968, 0.968, 1
2, PMG, 1, 11, -0.014, 0.968, 0.968, 0
2, PMG, 2, 12, -1.477, 0.033, 0.033, 1
2, PMG, 1, 12, -0.014, 0.968, 0.968, 0
2, PMG, 3, 12, -0.014, 0.968, 0.968, 0
2, PMG, 4, 12, -0.014, 0.968, 0.968, 0
2, PMG, 3, 13, -0.014, 0.968, 0.968, 0
2, PMG, 1, 13, -0.014, 0.968, 0.968, 1
2, PMG, 4, 13, -0.014, 0.968, 0.968, 1
2, PMG, 2, 13, -1.779, 0.017, 0.017, 1
2, PMG, 2, 14, -1.778, 0.017, 0.017, 1
2, PMG, 3, 14, -0.014, 0.968, 0.968, 1
2, PMG, 1, 14, -0.018, 0.951, 0.968, 1
2, PMG, 4, 14, -0.014, 0.968, 0.968, 0
2, PMG, 2, 15, -1.777, 0.017, 0.017, 1
2, PMG, 3, 15, -0.014, 0.968, 0.968, 0
2, PMG, 1, 15, -0.014, 0.968, 0.968, 0
2, PMG, 4, 15, -0.014, 0.968, 0.968, 1
2, PMG, 4, 16, -0.014, 0.968, 0.968, 1
2, PMG, 1, 16, -0.014, 0.968, 0.968, 1
2, PMG, 3, 16, -0.014, 0.968, 0.968, 1
2, PMG, 2, 16, -1.777, 0.017, 0.017, 1
2, PMG, 2, 17, -1.779, 0.017, 0.017, 0
2, PMG, 4, 17, -0.014, 0.968, 0.968, 0
2, PMG, 1, 17, -0.014, 0.968, 0.968, 0
2, PMG, 3, 17, -0.014, 0.968, 0.968, 1
2, PMG, 1, 18, -0.014, 0.968, 0.968, 1
2, PMG, 4, 18, -0.014, 0.968, 0.968, 0
2, PMG, 2, 18, -1.781, 0.016, 0.017, 1
2, PMG, 3, 18, -0.014, 0.968, 0.968, 1
2, PMG, 2, 19, -1.779, 0.017, 0.017, 1
2, PMG, 3, 19, -0.014, 0.968, 0.968, 1
2, PMG, 1, 19, -0.014, 0.968, 0.968, 0
2, PMG, 4, 19, -0.014, 0.968, 0.968, 1
2, PMG, 2, 20, -1.780, 0.017, 0.017, 0
2, PMG, 3, 20, -0.014, 0.968, 0.968, 0
2, PMG, 1, 20, -0.014, 0.968, 0.968, 0
2, PMG, 4, 20, -0.018, 0.951, 0.968, 0
2, PMG, 2, 21, -1.778, 0.017, 0.017, 1
2, PMG, 3, 21, -0.014, 0.968, 0.968, 0
2, PMG, 4, 21, -0.014, 0.968, 0.968, 0
2, PMG, 1, 21, -0.014, 0.968, 0.968, 1
2, PMG, 1, 22, -0.014, 0.968, 0.968, 0
2, PMG, 4, 22, -0.014, 0.968, 0.968, 1
2, PMG, 3, 22, -0.014, 0.968, 0.968, 1
2, PMG, 2, 22, -1.777, 0.017, 0.017, 0
2, PMG, 1, 23, -0.014, 0.968, 0.968, 1
2, PMG, 3, 23, -0.014, 0.968, 0.968, 1
2, PMG, 2, 23, -1.779, 0.017, 0.017, 1
2, PMG, 4, 23, -0.014, 0.968, 0.968, 1
2, PMG, 3, 24, -0.014, 0.968, 0.968, 1
2, PMG, 1, 24, -0.014, 0.968, 0.968, 1
2, PMG, 4, 24, -0.014, 0.968, 0.968, 0
2, PMG, 2, 24, -1.777, 0.017, 0.017, 0
2, PMG, 4, 25, -0.014, 0.968, 0.968, 0
2, PMG, 1, 25, -0.014, 0.968, 0.968, 1
2, PMG, 3, 25, -0.014, 0.968, 0.968, 1
2, PMG, 2, 25, -1.778, 0.017, 0.017, 0
2, PMG, 4, 26, -0.014, 0.968, 0.968, 0
2, PMG, 1, 26, -0.014, 0.968, 0.968, 1
2, PMG, 3, 26, -0.014, 0.968, 0.968, 1
2, PMG, 2, 26, -1.777, 0.017, 0.017, 0
2, PMG, 2, 27, -1.777, 0.017, 0.017, 0
2, PMG, 4, 27, -0.014, 0.968, 0.968, 0
2, PMG, 3, 27, -0.014, 0.968, 0.968, 0
2, PMG, 1, 27, -0.014, 0.968, 0.968, 0
2, PMG, 1, 28, -0.014, 0.968, 0.968, 1
2, PMG, 2, 28, -1.777, 0.017, 0.017, 0
2, PMG, 3, 28, -0.014, 0.968, 0.968, 0
2, PMG, 4, 28, -0.014, 0.968, 0.968, 0
2, PMG, 2, 29, -1.778, 0.017, 0.017, 0
2, PMG, 1, 29, -0.014, 0.968, 0.968, 0
2, PMG, 4, 29, -0.014, 0.968, 0.968, 0
2, PMG, 3, 29, -0.014, 0.968, 0.968, 1
2, PMG, 1, 30, -0.014, 0.968, 0.968, 0
2, PMG, 4, 30, -0.018, 0.951, 0.968, 0
2, PMG, 3, 30, -0.014, 0.968, 0.968, 0
2, PMG, 2, 30, -1.477, 0.033, 0.033, 1
