person, group, rep, n, t, t1, t2, correct
3, CMM, 0, 1, -0.602, 0.217, 0.217, 1
3, CMM, 0, 2, -0.602, 0.217, 0.217, 1
3, CMM, 0, 3, -0.602, 0.217, 0.217, 1
3, CMM, 0, 4, -0.602, 0.217, 0.217, 1
3, CMM, 0, 5, -0.602, 0.217, 0.217, 0
3, CMM, 0, 6, -0.602, 0.217, 0.217, 1
3, CMM, 0, 7, -0.602, 0.217, 0.217, 1
3, CMM, 0, 8, -0.602, 0.217, 0.217, 0
3, CMM, 0, 9, -0.602, 0.217, 0.217, 1
3, CMM, 0, 10, -0.602, 0.217, 0.217, 1
3, CMM, 0, 11, -0.602, 0.217, 0.217, 1
3, CMM, 0, 12, -0.602, 0.217, 0.217, 1
3, CMM, 0, 13, -0.602, 0.217, 0.217, 1
3, CMM, 0, 14, -0.602, 0.217, 0.217, 1
3, CMM, 0, 15, -0.602, 0.217, 0.217, 1
3, CMM, 2, 1, -0.664, 0.217, 0.217, 1
3, CMM, 1, 1, -0.315, 0.484, 0.484, 0
3, CMM, 3, 1, -1.078, 0.083, 0.084, 1
3, CMM, 4, 1, -1.477, 0.033, 0.033, 1
3, CMM, 4, 2, -1.776, 0.017, 0.017, 0
3, CMM, 3, 2, -1.779, 0.017, 0.017, 0
3, CMM, 1, 2, 0.164, 1.468, 1.451, 1
3, CMM, 2, 2, -1.477, 0.033, 0.033, 1
3, CMM, 2, 3, -1.777, 0.017, 0.017, 1
3, CMM, 4, 3, -0.547, 0.284, 0.284, 1
3, CMM, 1, 3, 0.167, 1.468, 1.468, 1
3, CMM, 3, 3, -0.547, 0.284, 0.284, 1
3, CMM, 1, 4, 0.167, 1.468, 1.468, 1
3, CMM, 2, 4, -1.777, 0.017, 0.017, 1
3, CMM, 4, 4, -1.000, 0.100, 0.100, 1
3, CMM, 3, 4, -1.078, 0.083, 0.083, 1
3, CMM, 1, 5, 0.055, 1.135, 1.135, 1
3, CMM, 2, 5, -1.775, 0.017, 0.017, 0
3, CMM, 4, 5, -1.477, 0.033, 0.033, 1
3, CMM, 3, 5, -1.477, 0.033, 0.033, 1
3, CMM, 4, 6, -1.779, 0.017, 0.017, 0
3, CMM, 3, 6, -1.777, 0.017, 0.017, 1
