person, group, rep, n, t, t1, t2, correct
3, P4G, 0, 1, -0.602, 0.217, 0.217, 1
3, P4G, 0, 2, -0.602, 0.217, 0.217, 1
3, P4G, 0, 3, -0.602, 0.217, 0.217, 1
3, P4G, 0, 4, -0.602, 0.217, 0.217, 1
3, P4G, 0, 5, -0.602, 0.217, 0.217, 1
3, P4G, 0, 6, -0.602, 0.217, 0.217, 1
3, P4G, 0, 7, -0.602, 0.217, 0.217, 1
3, P4G, 0, 8, -0.602, 0.217, 0.217, 1
3, P4G, 0, 9, -0.602, 0.217, 0.217, 1
3, P4G, 0, 10, -0.602, 0.217, 0.217, 1
3, P4G, 0, 11, -0.602, 0.217, 0.217, 1
3, P4G, 0, 12, -0.602, 0.217, 0.217, 1
3, P4G, 0, 13, -0.602, 0.217, 0.217, 1
3, P4G, 0, 14, -0.602, 0.217, 0.217, 1
3, P4G, 0, 15, -0.602, 0.217, 0.217, 0
3, P4G, 2, 1, -0.664, 0.217, 0.217, 1
3, P4G, 1, 1, -0.315, 0.484, 0.484, 1
3, P4G, 3, 1, -1.081, 0.083, 0.083, 1
3, P4G, 4, 1, -1.476, 0.033, 0.033, 1
3, P4G, 4, 2, -1.777, 0.017, 0.017, 1
3, P4G, 3, 2, -1.778, 0.017, 0.017, 0
3, P4G, 1, 2, -0.933, 0.117, 0.117, 1
3, P4G, 2, 2, -1.477, 0.033, 0.033, 0
3, P4G, 2, 3, -0.259, 0.551, 0.551, 1
3, P4G, 4, 3, -1.779, 0.017, 0.017, 0
3, P4G, 1, 3, -1.779, 0.017, 0.017, 0
3, P4G, 3, 3, -0.522, 0.300, 0.300, 1
3, P4G, 1, 4, -0.778, 0.167, 0.167, 1
3, P4G, 2, 4, -0.664, 0.217, 0.217, 0
3, P4G, 4, 4, -0.736, 0.183, 0.184, 0
3, P4G, 3, 4, -1.000, 0.100, 0.100, 1
3, P4G, 1, 5, -1.176, 0.067, 0.067, 1
3, P4G, 2, 5, 0.167, 1.468, 1.468, 1
3, P4G, 4, 5, 0.167, 1.468, 1.468, 1
3, P4G, 3, 5, -1.477, 0.033, 0.033, 1
3, P4G, 4, 6, -0.029, 0.934, 0.934, 1
3, P4G, 3, 6, -1.779, 0.017, 0.017, 1
3, P4G, 2, 6, -0.079, 0.834, 0.834, 1
3, P4G, 1, 6, -1.477, 0.033, 0.033, 1
3, P4G, 3, 7, -1.776, 0.017, 0.017, 0
3, P4G, 2, 7, -0.273, 0.534, 0.534, 1
3, P4G, 1, 7, -1.778, 0.017, 0.017, 1
3, P4G, 4, 7, -0.187, 0.651, 0.651, 1
3, P4G, 2, 8, -0.397, 0.400, 0.400, 1
3, P4G, 4, 8, -0.315, 0.484, 0.484, 1
3, P4G, 1, 8, -1.778, 0.017, 0.017, 1
3, P4G, 3, 8, -1.775, 0.017, 0.017, 1
3, P4G, 1, 9, -1.778, 0.017, 0.017, 0
3, P4G, 4, 9, -0.416, 0.384, 0.384, 1
3, P4G, 2, 9, -0.477, 0.334, 0.334, 1
3, P4G, 3, 9, -1.778, 0.017, 0.017, 0
3, P4G, 2, 10, -0.547, 0.284, 0.284, 1
3, P4G, 3, 10, -1.477, 0.033, 0.033, 1
3, P4G, 4, 10, -0.499, 0.317, 0.317, 1
3, P4G, 1, 10, -1.779, 0.017, 0.017, 0
3, P4G, 2, 11, -0.602, 0.250, 0.250, 1
3, P4G, 4, 11, -0.574, 0.267, 0.267, 1
3, P4G, 3, 11, -1.777, 0.017, 0.017, 1
3, P4G, 1, 11, -1.776, 0.017, 0.017, 0
3, P4G, 1, 12, -1.476, 0.033, 0.033, 1
3, P4G, 3, 12, -1.778, 0.017, 0.017, 0
3, P4G, 4, 12, -0.664, 0.217, 0.217, 1
3, P4G, 2, 12, -0.664, 0.217, 0.217, 1
3, P4G, 4, 13, -0.736, 0.184, 0.184, 1
3, P4G, 3, 13, -1.778, 0.017, 0.017, 0
3, P4G, 2, 13, -0.736, 0.184, 0.184, 0
3, P4G, 1, 13, -1.779, 0.017, 0.017, 1
3, P4G, 1, 14, -1.777, 0.017, 0.017, 1
3, P4G, 2, 14, -0.602, 0.250, 0.250, 1
3, P4G, 4, 14, -0.823, 0.150, 0.150, 0
3, P4G, 3, 14, -1.778, 0.017, 0.017, 0
3, P4G, 1, 15, -1.775, 0.017, 0.017, 1
3, P4G, 3, 15, -1.777, 0.017, 0.017, 0
3, P4G, 4, 15, -0.632, 0.234, 0.234, 1
3, P4G, 2, 15, -0.631, 0.234, 0.234, 1
3, P4G, 4, 16, -0.664, 0.217, 0.217, 0
3, P4G, 3, 16, -1.476, 0.033, 0.033, 1
3, P4G, 2, 16, -0.664, 0.217, 0.217, 1
3, P4G, 1, 16, -1.779, 0.017, 0.017, 0
3, P4G, 1, 17, -1.776, 0.017, 0.017, 1
3, P4G, 4, 17, -0.573, 0.267, 0.267, 1
3, P4G, 3, 17, -1.779, 0.017, 0.017, 0
3, P4G, 2, 17, -0.698, 0.200, 0.200, 1
3, P4G, 1, 18, -1.776, 0.017, 0.017, 0
3, P4G, 2, 18, -0.698, 0.200, 0.200, 1
3, P4G, 3, 18, -1.778, 0.017, 0.017, 1
3, P4G, 4, 18, -0.602, 0.250, 0.250, 1
3, P4G, 3, 19, -1.779, 0.017, 0.017, 0
3, P4G, 1, 19, -1.777, 0.017, 0.017, 1
3, P4G, 2, 19, -0.736, 0.184, 0.184, 0
3, P4G, 4, 19, -0.631, 0.234, 0.234, 1
3, P4G, 2, 20, -0.664, 0.217, 0.217, 0
3, P4G, 4, 20, -0.664, 0.217, 0.217, 1
3, P4G, 3, 20, -1.778, 0.017, 0.017, 0
3, P4G, 1, 20, -1.779, 0.017, 0.017, 1
3, P4G, 2, 21, -0.631, 0.234, 0.234, 1
3, P4G, 1, 21, -1.777, 0.017, 0.017, 0
3, P4G, 4, 21, -0.698, 0.200, 0.200, 1
3, P4G, 3, 21, -1.778, 0.017, 0.017, 0
3, P4G, 2, 22, -0.632, 0.234, 0.234, 1
3, P4G, 1, 22, -1.777, 0.017, 0.017, 0
3, P4G, 3, 22, -1.477, 0.033, 0.033, 1
3, P4G, 4, 22, -0.699, 0.200, 0.200, 1
3, P4G, 2, 23, -0.664, 0.217, 0.217, 1
3, P4G, 4, 23, -0.736, 0.184, 0.184, 1
3, P4G, 1, 23, -1.780, 0.017, 0.017, 1
3, P4G, 3, 23, -1.777, 0.017, 0.017, 0
3, P4G, 4, 24, -0.736, 0.184, 0.184, 1
3, P4G, 2, 24, -0.664, 0.217, 0.217, 1
3, P4G, 1, 24, -1.778, 0.017, 0.017, 1
3, P4G, 3, 24, -1.776, 0.017, 0.017, 1
3, P4G, 1, 25, -1.780, 0.017, 0.017, 0
3, P4G, 3, 25, -1.777, 0.017, 0.017, 0
3, P4G, 2, 25, -0.698, 0.200, 0.200, 1
3, P4G, 4, 25, -0.778, 0.167, 0.167, 1
3, P4G, 1, 26, -1.777, 0.017, 0.017, 1
3, P4G, 2, 26, -0.699, 0.200, 0.200, 0
3, P4G, 3, 26, -1.778, 0.017, 0.017, 1
3, P4G, 4, 26, -0.778, 0.167, 0.167, 1
3, P4G, 4, 27, -0.778, 0.167, 0.167, 1
3, P4G, 1, 27, -1.777, 0.017, 0.017, 0
3, P4G, 3, 27, -1.780, 0.017, 0.017, 1
3, P4G, 2, 27, -0.664, 0.217, 0.217, 1
3, P4G, 3, 28, -1.773, 0.017, 0.017, 0
3, P4G, 2, 28, -0.699, 0.200, 0.200, 1
3, P4G, 1, 28, -1.778, 0.017, 0.017, 1
3, P4G, 4, 28, -0.823, 0.150, 0.150, 1
