person, group, rep, n, t, t1, t2, correct
3, P6, 0, 1, -0.602, 0.217, 0.217, 0
3, P6, 0, 2, -0.602, 0.217, 0.217, 1
3, P6, 0, 3, -0.602, 0.217, 0.217, 1
3, P6, 0, 4, -0.602, 0.217, 0.217, 1
3, P6, 0, 5, -0.602, 0.217, 0.217, 1
3, P6, 0, 6, -0.602, 0.217, 0.217, 1
3, P6, 0, 7, -0.602, 0.217, 0.217, 1
3, P6, 0, 8, -0.602, 0.217, 0.217, 1
3, P6, 0, 9, -0.602, 0.217, 0.217, 1
3, P6, 0, 10, -0.602, 0.217, 0.217, 1
3, P6, 0, 11, -0.602, 0.217, 0.217, 1
3, P6, 0, 12, -0.602, 0.217, 0.217, 1
3, P6, 0, 13, -0.602, 0.217, 0.217, 1
3, P6, 0, 14, -0.602, 0.217, 0.217, 1
3, P6, 0, 15, -0.602, 0.217, 0.217, 1
3, P6, 2, 1, -0.664, 0.217, 0.217, 1
3, P6, 1, 1, -0.315, 0.484, 0.484, 1
3, P6, 3, 1, -1.079, 0.083, 0.083, 1
3, P6, 4, 1, -1.477, 0.033, 0.033, 0
3, P6, 4, 2, -0.209, 0.617, 0.617, 1
3, P6, 3, 2, -1.778, 0.017, 0.017, 0
3, P6, 1, 2, -0.932, 0.117, 0.117, 1
3, P6, 2, 2, -1.477, 0.033, 0.033, 0
3, P6, 2, 3, -0.259, 0.551, 0.551, 1
3, P6, 4, 3, -0.522, 0.300, 0.300, 1
3, P6, 1, 3, -1.779, 0.017, 0.017, 1
3, P6, 3, 3, -0.547, 0.284, 0.284, 1
3, P6, 1, 4, -1.779, 0.017, 0.017, 1
3, P6, 2, 4, -0.664, 0.217, 0.217, 1
3, P6, 4, 4, -0.778, 0.167, 0.167, 1
3, P6, 3, 4, -1.079, 0.084, 0.083, 1
3, P6, 1, 5, -1.779, 0.017, 0.017, 0
3, P6, 2, 5, -0.933, 0.117, 0.117, 1
3, P6, 4, 5, -1.000, 0.100, 0.100, 0
3, P6, 3, 5, -1.476, 0.033, 0.033, 0
3, P6, 4, 6, -0.574, 0.267, 0.267, 0
3, P6, 3, 6, -1.000, 0.100, 0.100, 1
3, P6, 2, 6, -1.176, 0.067, 0.067, 1
3, P6, 1, 6, -1.079, 0.083, 0.083, 0
3, P6, 3, 7, -1.301, 0.050, 0.050, 1
3, P6, 2, 7, -1.300, 0.050, 0.050, 1
3, P6, 1, 7, -0.037, 0.918, 0.918, 1
3, P6, 4, 7, -0.029, 0.934, 0.934, 1
3, P6, 2, 8, -1.477, 0.033, 0.033, 0
3, P6, 4, 8, -0.209, 0.617, 0.617, 1
3, P6, 1, 8, -0.397, 0.400, 0.400, 1
3, P6, 3, 8, -1.477, 0.033, 0.033, 1
3, P6, 1, 9, -0.602, 0.250, 0.250, 1
3, P6, 4, 9, -0.331, 0.467, 0.467, 1
3, P6, 2, 9, -1.301, 0.050, 0.050, 1
3, P6, 3, 9, -1.776, 0.017, 0.017, 1
3, P6, 2, 10, -1.477, 0.033, 0.033, 1
3, P6, 3, 10, -1.779, 0.017, 0.017, 0
3, P6, 4, 10, -0.397, 0.400, 0.400, 1
3, P6, 1, 10, -0.778, 0.167, 0.167, 1
3, P6, 2, 11, -1.476, 0.033, 0.033, 1
3, P6, 4, 11, -0.477, 0.334, 0.334, 1
3, P6, 3, 11, -1.777, 0.017, 0.016, 0
3, P6, 1, 11, -0.932, 0.117, 0.117, 1
3, P6, 1, 12, -0.999, 0.100, 0.100, 0
3, P6, 3, 12, -1.477, 0.033, 0.033, 1
3, P6, 4, 12, -0.522, 0.300, 0.300, 1
3, P6, 2, 12, -1.779, 0.017, 0.017, 1
3, P6, 4, 13, -0.574, 0.267, 0.267, 1
3, P6, 3, 13, -1.778, 0.017, 0.017, 1
3, P6, 2, 13, -1.777, 0.017, 0.017, 0
3, P6, 1, 13, -0.824, 0.150, 0.150, 1
3, P6, 1, 14, -0.932, 0.117, 0.117, 0
3, P6, 2, 14, -1.778, 0.017, 0.017, 1
3, P6, 4, 14, -0.602, 0.250, 0.250, 1
3, P6, 3, 14, -1.778, 0.017, 0.017, 0
3, P6, 1, 15, -0.736, 0.184, 0.184, 1
3, P6, 3, 15, -1.779, 0.017, 0.017, 1
3, P6, 4, 15, -0.632, 0.234, 0.234, 1
3, P6, 2, 15, -1.778, 0.017, 0.017, 1
3, P6, 4, 16, -0.698, 0.200, 0.200, 1
3, P6, 3, 16, -1.774, 0.017, 0.017, 1
3, P6, 2, 16, -1.778, 0.017, 0.017, 0
3, P6, 1, 16, -0.823, 0.150, 0.150, 1
3, P6, 1, 17, -0.874, 0.134, 0.134, 1
3, P6, 4, 17, -0.736, 0.184, 0.184, 1
3, P6, 3, 17, -1.776, 0.017, 0.017, 0
3, P6, 2, 17, -1.778, 0.017, 0.017, 0
3, P6, 1, 18, -0.932, 0.117, 0.117, 1
3, P6, 2, 18, -1.777, 0.017, 0.017, 1
3, P6, 3, 18, -1.777, 0.017, 0.017, 0
3, P6, 4, 18, -0.778, 0.167, 0.167, 1
3, P6, 3, 19, -1.777, 0.017, 0.017, 1
3, P6, 1, 19, -0.999, 0.100, 0.100, 1
3, P6, 2, 19, -1.778, 0.017, 0.017, 1
3, P6, 4, 19, -0.874, 0.134, 0.134, 1
3, P6, 2, 20, -1.779, 0.017, 0.017, 1
3, P6, 4, 20, -0.933, 0.117, 0.117, 1
3, P6, 3, 20, -1.777, 0.017, 0.017, 0
