person, group, rep, n, t, t1, t2, correct
3, PM, 0, 1, -0.602, 0.217, 0.217, 0
3, PM, 0, 2, -0.602, 0.217, 0.217, 1
3, PM, 0, 3, -0.602, 0.217, 0.217, 1
3, PM, 0, 4, -0.602, 0.217, 0.217, 1
3, PM, 0, 5, -0.602, 0.217, 0.217, 1
3, PM, 0, 6, -0.602, 0.217, 0.217, 0
3, PM, 0, 7, -0.602, 0.217, 0.217, 1
3, PM, 0, 8, -0.602, 0.217, 0.217, 1
3, PM, 0, 9, -0.602, 0.217, 0.217, 1
3, PM, 0, 10, -0.602, 0.217, 0.217, 0
3, PM, 0, 11, -0.602, 0.217, 0.217, 1
3, PM, 0, 12, -0.602, 0.217, 0.217, 1
3, PM, 0, 13, -0.602, 0.217, 0.217, 1
3, PM, 0, 14, -0.602, 0.217, 0.217, 1
3, PM, 0, 15, -0.602, 0.217, 0.217, 1
3, PM, 2, 1, -0.664, 0.217, 0.217, 1
3, PM, 1, 1, -0.315, 0.484, 0.484, 1
3, PM, 3, 1, -1.078, 0.083, 0.084, 1
3, PM, 4, 1, -1.477, 0.033, 0.033, 0
3, PM, 4, 2, -0.209, 0.617, 0.617, 0
3, PM, 3, 2, -1.779, 0.017, 0.017, 0
3, PM, 1, 2, -0.933, 0.117, 0.117, 1
3, PM, 2, 2, -1.477, 0.033, 0.033, 0
3, PM, 2, 3, -0.259, 0.551, 0.551, 1
3, PM, 4, 3, 0.167, 1.468, 1.468, 1
3, PM, 1, 3, -1.779, 0.017, 0.017, 1
3, PM, 3, 3, -0.547, 0.284, 0.284, 1
3, PM, 1, 4, -1.778, 0.017, 0.017, 1
3, PM, 2, 4, -0.664, 0.217, 0.217, 0
3, PM, 4, 4, 0.164, 1.452, 1.468, 1
3, PM, 3, 4, -1.078, 0.084, 0.083, 0
3, PM, 1, 5, -1.777, 0.017, 0.017, 0
3, PM, 2, 5, 0.164, 1.468, 1.451, 1
3, PM, 4, 5, 0.141, 1.385, 1.385, 0
3, PM, 3, 5, -0.176, 0.667, 0.667, 1
3, PM, 4, 6, 0.167, 1.468, 1.468, 1
3, PM, 3, 6, -0.499, 0.317, 0.317, 1
3, PM, 2, 6, -0.079, 0.834, 0.834, 1
3, PM, 1, 6, -1.037, 0.100, 0.083, 1
3, PM, 3, 7, -0.698, 0.200, 0.200, 1
3, PM, 2, 7, -0.273, 0.534, 0.534, 1
3, PM, 1, 7, -1.478, 0.033, 0.033, 1
3, PM, 4, 7, 0.167, 1.468, 1.468, 1
3, PM, 2, 8, -0.397, 0.400, 0.400, 1
3, PM, 4, 8, 0.167, 1.468, 1.468, 1
3, PM, 1, 8, -1.779, 0.017, 0.017, 0
3, PM, 3, 8, -0.823, 0.150, 0.150, 1
3, PM, 1, 9, -1.476, 0.033, 0.033, 1
3, PM, 4, 9, 0.167, 1.468, 1.468, 1
3, PM, 2, 9, -0.477, 0.334, 0.334, 0
3, PM, 3, 9, -0.932, 0.117, 0.117, 1
3, PM, 2, 10, -0.246, 0.567, 0.567, 1
3, PM, 3, 10, -1.079, 0.083, 0.083, 0
3, PM, 4, 10, 0.167, 1.468, 1.468, 0
3, PM, 1, 10, -1.777, 0.017, 0.017, 0
3, PM, 2, 11, -0.331, 0.467, 0.467, 0
3, PM, 4, 11, 0.167, 1.468, 1.468, 0
3, PM, 3, 11, -0.875, 0.133, 0.133, 0
3, PM, 1, 11, -1.778, 0.017, 0.017, 0
3, PM, 1, 12, -1.476, 0.033, 0.033, 0
3, PM, 3, 12, -0.699, 0.200, 0.200, 0
3, PM, 4, 12, 0.164, 1.468, 1.452, 1
3, PM, 2, 12, -0.106, 0.784, 0.784, 1
3, PM, 4, 13, 0.167, 1.468, 1.468, 1
3, PM, 3, 13, -0.346, 0.450, 0.451, 1
3, PM, 2, 13, -0.198, 0.634, 0.634, 0
3, PM, 1, 13, -0.999, 0.100, 0.100, 0
3, PM, 1, 14, -0.014, 0.968, 0.968, 1
3, PM, 2, 14, 0.080, 1.201, 1.201, 1
3, PM, 4, 14, 0.167, 1.468, 1.468, 1
3, PM, 3, 14, -0.499, 0.317, 0.317, 0
3, PM, 1, 15, -0.380, 0.417, 0.417, 1
3, PM, 3, 15, -0.087, 0.818, 0.818, 1
3, PM, 4, 15, 0.162, 1.452, 1.452, 1
3, PM, 2, 15, -0.045, 0.901, 0.901, 1
3, PM, 4, 16, 0.167, 1.468, 1.468, 1
3, PM, 3, 16, -0.273, 0.534, 0.534, 0
3, PM, 2, 16, -0.106, 0.784, 0.784, 1
3, PM, 1, 16, -0.601, 0.250, 0.250, 1
3, PM, 1, 17, -0.757, 0.167, 0.184, 1
3, PM, 4, 17, 0.164, 1.452, 1.468, 0
3, PM, 3, 17, 0.167, 1.468, 1.468, 1
3, PM, 2, 17, -0.144, 0.718, 0.717, 1
3, PM, 1, 18, -0.875, 0.133, 0.133, 1
3, PM, 2, 18, -0.176, 0.668, 0.667, 1
3, PM, 3, 18, 0.029, 1.068, 1.068, 1
3, PM, 4, 18, 0.167, 1.468, 1.468, 1
3, PM, 3, 19, -0.087, 0.818, 0.818, 1
3, PM, 1, 19, -1.000, 0.100, 0.100, 1
3, PM, 2, 19, -0.198, 0.634, 0.634, 1
