person, group, rep, n, t, t1, t2, correct
10, CM, 0, 1, -0.301, 0.458, 0.458, 1
10, CM, 0, 2, -0.301, 0.458, 0.458, 1
10, CM, 0, 3, -0.301, 0.458, 0.458, 1
10, CM, 0, 4, -0.301, 0.458, 0.458, 1
10, CM, 0, 5, -0.301, 0.458, 0.458, 1
10, CM, 0, 6, -0.301, 0.458, 0.458, 1
10, CM, 0, 7, -0.301, 0.458, 0.458, 1
10, CM, 0, 8, -0.301, 0.458, 0.458, 1
10, CM, 0, 9, -0.301, 0.458, 0.458, 1
10, CM, 0, 10, -0.301, 0.458, 0.458, 1
10, CM, 3, 1, -1.176, 0.067, 0.067, 1
10, CM, 1, 1, -0.389, 0.408, 0.408, 0
10, CM, 4, 1, -2.079, 0.008, 0.008, 1
10, CM, 2, 1, -0.737, 0.183, 0.183, 1
10, CM, 4, 2, -2.083, 0.008, 0.008, 1
10, CM, 2, 2, -1.602, 0.025, 0.025, 1
10, CM, 3, 2, -2.080, 0.008, 0.008, 1
10, CM, 1, 2, -0.018, 0.958, 0.958, 1
10, CM, 1, 3, -0.019, 0.958, 0.958, 1
10, CM, 2, 3, -2.081, 0.008, 0.008, 0
10, CM, 4, 3, -2.083, 0.008, 0.008, 1
10, CM, 3, 3, -2.083, 0.008, 0.008, 0
10, CM, 4, 4, -2.080, 0.008, 0.008, 1
10, CM, 3, 4, -1.125, 0.075, 0.075, 0
10, CM, 1, 4, -0.018, 0.958, 0.958, 1
10, CM, 2, 4, -1.125, 0.075, 0.075, 1
10, CM, 2, 5, -2.083, 0.008, 0.008, 0
10, CM, 4, 5, -2.081, 0.008, 0.008, 1
10, CM, 1, 5, -0.135, 0.733, 0.733, 1
10, CM, 3, 5, -0.018, 0.958, 0.958, 1
10, CM, 3, 6, -0.294, 0.508, 0.508, 1
10, CM, 2, 6, -1.603, 0.025, 0.025, 0
10, CM, 1, 6, -0.253, 0.558, 0.558, 1
10, CM, 4, 6, -2.085, 0.008, 0.008, 1
10, CM, 2, 7, -0.862, 0.133, 0.142, 1
10, CM, 4, 7, -2.082, 0.008, 0.008, 1
10, CM, 3, 7, -0.535, 0.292, 0.292, 1
10, CM, 1, 7, -0.363, 0.433, 0.433, 0
10, CM, 3, 8, -0.757, 0.175, 0.175, 1
10, CM, 2, 8, -1.301, 0.050, 0.050, 1
10, CM, 1, 8, -0.106, 0.783, 0.783, 1
10, CM, 4, 8, -2.083, 0.008, 0.008, 0
10, CM, 1, 9, -0.171, 0.675, 0.675, 1
10, CM, 3, 9, -0.933, 0.117, 0.117, 1
10, CM, 4, 9, -2.081, 0.008, 0.008, 1
10, CM, 2, 9, -1.781, 0.017, 0.017, 1
10, CM, 3, 10, -1.125, 0.075, 0.075, 1
10, CM, 4, 10, -2.082, 0.008, 0.008, 1
10, CM, 2, 10, -1.780, 0.017, 0.017, 1
10, CM, 1, 10, -0.222, 0.600, 0.600, 1
10, CM, 4, 11, -2.084, 0.008, 0.008, 1
10, CM, 2, 11, -2.082, 0.008, 0.008, 1
10, CM, 3, 11, -1.301, 0.050, 0.050, 1
10, CM, 1, 11, -0.260, 0.550, 0.550, 1
10, CM, 4, 12, -2.082, 0.008, 0.008, 1
10, CM, 2, 12, -2.085, 0.008, 0.008, 1
10, CM, 1, 12, -0.294, 0.508, 0.508, 1
10, CM, 3, 12, -1.779, 0.017, 0.017, 1
10, CM, 2, 13, -2.084, 0.008, 0.008, 0
10, CM, 3, 13, -2.083, 0.008, 0.008, 1
10, CM, 4, 13, -2.085, 0.008, 0.008, 0
10, CM, 1, 13, -0.323, 0.475, 0.475, 1
10, CM, 3, 14, -2.083, 0.008, 0.008, 1
10, CM, 4, 14, -2.084, 0.008, 0.008, 1
10, CM, 1, 14, -0.363, 0.433, 0.433, 1
10, CM, 2, 14, -2.082, 0.008, 0.008, 0
10, CM, 4, 15, -2.084, 0.008, 0.008, 0
10, CM, 3, 15, -2.081, 0.008, 0.008, 0
10, CM, 1, 15, -0.398, 0.400, 0.400, 1
10, CM, 2, 15, -2.084, 0.008, 0.008, 1
10, CM, 4, 16, -2.083, 0.008, 0.008, 0
10, CM, 1, 16, -0.456, 0.350, 0.350, 0
10, CM, 2, 16, -2.084, 0.008, 0.008, 0
10, CM, 3, 16, -2.079, 0.008, 0.008, 1
10, CM, 4, 17, -2.085, 0.008, 0.008, 0
10, CM, 2, 17, -2.081, 0.008, 0.008, 1
10, CM, 1, 17, -0.323, 0.475, 0.475, 1
10, CM, 3, 17, -2.082, 0.008, 0.008, 0
10, CM, 4, 18, -1.125, 0.075, 0.075, 1
10, CM, 2, 18, -2.084, 0.008, 0.008, 0
10, CM, 3, 18, -1.781, 0.017, 0.017, 0
10, CM, 1, 18, -0.339, 0.458, 0.458, 1
10, CM, 3, 19, -1.381, 0.042, 0.042, 0
10, CM, 1, 19, -0.363, 0.433, 0.433, 1
10, CM, 2, 19, -2.080, 0.008, 0.008, 0
10, CM, 4, 19, -2.082, 0.008, 0.008, 0
10, CM, 3, 20, -1.125, 0.075, 0.075, 1
10, CM, 1, 20, -0.380, 0.417, 0.417, 1
10, CM, 2, 20, -2.081, 0.008, 0.008, 1
