person, group, rep, n, t, t1, t2, correct
12, P3, 0, 1, -0.301, 0.458, 0.458, 0
12, P3, 0, 2, -0.301, 0.458, 0.458, 1
12, P3, 0, 3, -0.301, 0.458, 0.458, 1
12, P3, 0, 4, -0.301, 0.458, 0.458, 1
12, P3, 0, 5, -0.301, 0.458, 0.458, 0
12, P3, 0, 6, -0.301, 0.458, 0.458, 1
12, P3, 0, 7, -0.301, 0.458, 0.458, 0
12, P3, 0, 8, -0.301, 0.458, 0.458, 1
12, P3, 0, 9, -0.301, 0.458, 0.458, 1
12, P3, 0, 10, -0.301, 0.458, 0.458, 0
12, P3, 0, 1, -0.301, 0.458, 0.458, 1
12, P3, 0, 2, -0.301, 0.458, 0.458, 1
12, P3, 0, 3, -0.301, 0.458, 0.458, 1
12, P3, 0, 4, -0.301, 0.458, 0.458, 1
12, P3, 0, 5, -0.301, 0.458, 0.458, 1
12, P3, 0, 6, -0.301, 0.458, 0.458, 1
12, P3, 0, 7, -0.301, 0.458, 0.458, 1
12, P3, 0, 8, -0.301, 0.458, 0.458, 1
12, P3, 0, 9, -0.301, 0.458, 0.458, 1
12, P3, 0, 10, -0.301, 0.458, 0.458, 1
12, P3, 1, 1, -0.389, 0.408, 0.408, 1
12, P3, 3, 1, -1.176, 0.067, 0.067, 1
12, P3, 4, 1, -2.080, 0.008, 0.008, 1
12, P3, 2, 1, -0.737, 0.183, 0.183, 1
12, P3, 1, 2, -1.038, 0.092, 0.092, 1
12, P3, 2, 2, -1.603, 0.025, 0.025, 1
12, P3, 3, 2, -2.083, 0.008, 0.008, 0
12, P3, 4, 2, -2.081, 0.008, 0.008, 0
12, P3, 1, 3, -2.082, 0.008, 0.008, 0
12, P3, 3, 3, -0.903, 0.125, 0.125, 1
12, P3, 4, 3, -0.737, 0.183, 0.183, 1
12, P3, 2, 3, -2.082, 0.008, 0.008, 1
12, P3, 3, 4, -1.603, 0.025, 0.025, 1
12, P3, 4, 4, -1.301, 0.050, 0.050, 1
12, P3, 1, 4, -1.080, 0.083, 0.083, 0
12, P3, 2, 4, -2.079, 0.008, 0.008, 0
12, P3, 3, 5, -2.080, 0.008, 0.008, 1
12, P3, 1, 5, -0.054, 0.883, 0.883, 1
12, P3, 2, 5, -1.380, 0.042, 0.042, 0
12, P3, 4, 5, -2.082, 0.008, 0.008, 0
12, P3, 4, 6, -1.603, 0.025, 0.025, 0
12, P3, 2, 6, -0.260, 0.550, 0.550, 1
12, P3, 1, 6, -0.426, 0.375, 0.375, 1
12, P3, 3, 6, -2.079, 0.008, 0.008, 1
12, P3, 1, 7, -0.648, 0.225, 0.225, 0
12, P3, 4, 7, -0.903, 0.125, 0.125, 1
12, P3, 3, 7, -2.083, 0.008, 0.008, 0
12, P3, 2, 7, -0.681, 0.208, 0.208, 1
12, P3, 3, 8, -2.085, 0.008, 0.008, 0
12, P3, 1, 8, -0.145, 0.717, 0.717, 0
12, P3, 2, 8, -0.965, 0.108, 0.108, 1
12, P3, 4, 8, -1.302, 0.050, 0.050, 1
12, P3, 1, 9, -0.018, 0.958, 0.958, 1
12, P3, 2, 9, -1.176, 0.067, 0.067, 1
12, P3, 4, 9, -1.780, 0.017, 0.017, 0
12, P3, 3, 9, -2.084, 0.008, 0.008, 0
12, P3, 4, 10, -1.603, 0.025, 0.025, 1
12, P3, 1, 10, -0.018, 0.958, 0.958, 1
12, P3, 3, 10, -1.778, 0.017, 0.017, 1
12, P3, 2, 10, -1.476, 0.033, 0.033, 0
12, P3, 1, 11, -0.018, 0.958, 0.958, 1
12, P3, 4, 11, -1.779, 0.017, 0.017, 1
12, P3, 2, 11, -1.176, 0.067, 0.067, 0
12, P3, 3, 11, -2.080, 0.008, 0.008, 0
12, P3, 4, 12, -1.780, 0.017, 0.017, 1
12, P3, 3, 12, -2.079, 0.008, 0.008, 1
12, P3, 2, 12, -0.903, 0.125, 0.125, 1
12, P3, 1, 12, -0.030, 0.933, 0.933, 1
12, P3, 1, 13, -0.130, 0.742, 0.742, 1
12, P3, 4, 13, -2.085, 0.008, 0.008, 0
12, P3, 3, 13, -2.085, 0.008, 0.008, 1
12, P3, 2, 13, -1.079, 0.083, 0.083, 1
12, P3, 1, 14, -0.210, 0.617, 0.617, 0
12, P3, 3, 14, -2.080, 0.008, 0.008, 1
12, P3, 4, 14, -2.077, 0.008, 0.008, 0
12, P3, 2, 14, -1.176, 0.067, 0.067, 0
12, P3, 3, 15, -2.080, 0.008, 0.008, 1
12, P3, 1, 15, -0.018, 0.958, 0.958, 0
12, P3, 4, 15, -2.075, 0.008, 0.008, 1
12, P3, 2, 15, -1.038, 0.092, 0.092, 0
12, P3, 1, 16, -0.019, 0.958, 0.958, 1
12, P3, 2, 16, -0.824, 0.150, 0.150, 1
12, P3, 4, 16, -2.083, 0.008, 0.008, 1
12, P3, 3, 16, -2.081, 0.008, 0.008, 0
12, P3, 2, 17, -0.965, 0.108, 0.108, 0
12, P3, 4, 17, -2.083, 0.008, 0.008, 1
12, P3, 3, 17, -2.086, 0.008, 0.008, 1
12, P3, 1, 17, -0.018, 0.958, 0.958, 1
12, P3, 2, 18, -0.757, 0.175, 0.175, 1
12, P3, 4, 18, -2.082, 0.008, 0.008, 1
12, P3, 3, 18, -2.081, 0.008, 0.008, 1
