person, group, rep, n, t, t1, t2, correct
12, P4G, 0, 1, -0.301, 0.458, 0.458, 1
12, P4G, 0, 2, -0.301, 0.458, 0.458, 1
12, P4G, 0, 3, -0.301, 0.458, 0.458, 1
12, P4G, 0, 4, -0.301, 0.458, 0.458, 0
12, P4G, 0, 5, -0.301, 0.458, 0.458, 1
12, P4G, 0, 6, -0.301, 0.458, 0.458, 1
12, P4G, 0, 7, -0.301, 0.458, 0.458, 1
12, P4G, 0, 8, -0.301, 0.458, 0.458, 1
12, P4G, 0, 9, -0.301, 0.458, 0.458, 1
12, P4G, 0, 10, -0.301, 0.458, 0.458, 1
12, P4G, 2, 1, -0.737, 0.183, 0.183, 1
12, P4G, 4, 1, -2.084, 0.008, 0.008, 1
12, P4G, 3, 1, -1.176, 0.067, 0.067, 1
12, P4G, 1, 1, -0.389, 0.408, 0.408, 1
12, P4G, 3, 2, -2.080, 0.008, 0.008, 0
12, P4G, 4, 2, -2.084, 0.008, 0.008, 0
12, P4G, 1, 2, -1.038, 0.092, 0.092, 1
12, P4G, 2, 2, -1.603, 0.025, 0.025, 1
12, P4G, 3, 3, -0.903, 0.125, 0.125, 1
12, P4G, 2, 3, -2.083, 0.008, 0.008, 0
12, P4G, 1, 3, -2.081, 0.008, 0.008, 1
12, P4G, 4, 3, -0.737, 0.183, 0.183, 1
12, P4G, 3, 4, -1.602, 0.025, 0.025, 1
12, P4G, 2, 4, -1.125, 0.075, 0.075, 1
12, P4G, 4, 4, -1.301, 0.050, 0.050, 1
12, P4G, 1, 4, -2.081, 0.008, 0.008, 0
12, P4G, 2, 5, -2.075, 0.008, 0.008, 0
12, P4G, 3, 5, -2.078, 0.008, 0.008, 1
12, P4G, 1, 5, -1.234, 0.058, 0.058, 1
12, P4G, 4, 5, -2.081, 0.008, 0.008, 1
12, P4G, 1, 6, -2.075, 0.008, 0.008, 0
12, P4G, 3, 6, -2.080, 0.008, 0.008, 0
12, P4G, 2, 6, -1.601, 0.025, 0.025, 0
12, P4G, 4, 6, -2.081, 0.008, 0.008, 1
12, P4G, 1, 7, -1.602, 0.025, 0.025, 0
12, P4G, 3, 7, -2.082, 0.008, 0.008, 0
12, P4G, 4, 7, -2.081, 0.008, 0.008, 0
12, P4G, 2, 7, -0.849, 0.142, 0.142, 1
12, P4G, 2, 8, -1.300, 0.050, 0.050, 1
12, P4G, 4, 8, -2.080, 0.008, 0.008, 1
12, P4G, 3, 8, -1.780, 0.017, 0.017, 1
12, P4G, 1, 8, -0.933, 0.117, 0.117, 1
12, P4G, 3, 9, -2.083, 0.008, 0.008, 1
12, P4G, 2, 9, -1.777, 0.017, 0.017, 1
12, P4G, 1, 9, -1.380, 0.042, 0.042, 0
12, P4G, 4, 9, -2.083, 0.008, 0.008, 1
12, P4G, 3, 10, -2.080, 0.008, 0.008, 1
12, P4G, 4, 10, -2.085, 0.008, 0.008, 1
12, P4G, 2, 10, -1.778, 0.017, 0.017, 0
12, P4G, 1, 10, -0.933, 0.117, 0.117, 1
12, P4G, 3, 11, -2.082, 0.008, 0.008, 1
12, P4G, 4, 11, -2.083, 0.008, 0.008, 1
12, P4G, 2, 11, -1.603, 0.025, 0.025, 1
12, P4G, 1, 11, -1.301, 0.050, 0.050, 0
12, P4G, 3, 12, -2.082, 0.008, 0.008, 1
12, P4G, 1, 12, -1.000, 0.100, 0.100, 0
12, P4G, 4, 12, -2.080, 0.008, 0.008, 1
12, P4G, 2, 12, -1.779, 0.017, 0.017, 0
12, P4G, 1, 13, -0.240, 0.575, 0.575, 1
12, P4G, 3, 13, -2.085, 0.008, 0.008, 1
12, P4G, 4, 13, -2.083, 0.008, 0.008, 0
12, P4G, 2, 13, -1.779, 0.017, 0.017, 1
12, P4G, 2, 14, -1.779, 0.017, 0.017, 0
12, P4G, 4, 14, -2.080, 0.008, 0.008, 1
12, P4G, 3, 14, -2.079, 0.008, 0.008, 1
12, P4G, 1, 14, -0.588, 0.258, 0.258, 1
12, P4G, 3, 15, -2.084, 0.008, 0.008, 1
12, P4G, 2, 15, -1.779, 0.017, 0.017, 1
12, P4G, 1, 15, -0.800, 0.158, 0.158, 1
12, P4G, 4, 15, -2.081, 0.008, 0.008, 0
12, P4G, 1, 16, -0.965, 0.108, 0.108, 1
12, P4G, 3, 16, -2.081, 0.008, 0.008, 1
12, P4G, 2, 16, -1.778, 0.017, 0.017, 1
12, P4G, 4, 16, -2.082, 0.008, 0.008, 1
12, P4G, 3, 17, -2.082, 0.008, 0.008, 0
12, P4G, 2, 17, -1.778, 0.017, 0.017, 1
12, P4G, 1, 17, -1.079, 0.083, 0.083, 1
12, P4G, 4, 17, -2.080, 0.008, 0.008, 0
12, P4G, 1, 18, -1.125, 0.075, 0.075, 1
12, P4G, 3, 18, -2.080, 0.008, 0.008, 1
