person, group, rep, n, t, t1, t2, correct
13, P3M1, 0, 1, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 2, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 3, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 4, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 5, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 6, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 7, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 8, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 9, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 10, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 1, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 2, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 3, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 4, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 5, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 6, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 7, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 8, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 9, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 10, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 1, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 2, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 3, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 4, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 5, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 6, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 7, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 8, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 9, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 10, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 1, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 2, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 3, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 4, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 5, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 6, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 7, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 8, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 9, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 10, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 1, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 2, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 3, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 4, -0.301, 0.458, 0.458, 0
13, P3M1, 0, 5, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 6, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 7, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 8, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 9, -0.301, 0.458, 0.458, 1
13, P3M1, 0, 10, -0.301, 0.458, 0.458, 1
13, P3M1, 2, 1, -0.737, 0.183, 0.183, 1
13, P3M1, 4, 1, -2.080, 0.008, 0.008, 0
13, P3M1, 3, 1, -1.176, 0.067, 0.067, 0
13, P3M1, 1, 1, -0.389, 0.408, 0.408, 1
13, P3M1, 1, 2, -1.038, 0.092, 0.092, 0
13, P3M1, 4, 2, -0.602, 0.250, 0.250, 0
13, P3M1, 2, 2, -1.603, 0.025, 0.025, 1
13, P3M1, 3, 2, -0.018, 0.958, 0.958, 1
13, P3M1, 1, 3, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 3, -0.018, 0.958, 0.958, 1
13, P3M1, 2, 3, -2.081, 0.008, 0.008, 0
13, P3M1, 3, 3, -0.290, 0.508, 0.517, 1
13, P3M1, 1, 4, -0.331, 0.467, 0.467, 0
13, P3M1, 3, 4, -0.535, 0.292, 0.292, 0
13, P3M1, 4, 4, -0.046, 0.900, 0.900, 1
13, P3M1, 2, 4, -1.125, 0.075, 0.075, 0
13, P3M1, 4, 5, -0.193, 0.642, 0.642, 1
13, P3M1, 1, 5, -0.018, 0.958, 0.958, 0
13, P3M1, 2, 5, -0.018, 0.958, 0.958, 1
13, P3M1, 3, 5, -0.026, 0.942, 0.942, 1
13, P3M1, 3, 6, -0.187, 0.650, 0.650, 0
13, P3M1, 1, 6, -0.018, 0.958, 0.958, 0
13, P3M1, 2, 6, -0.380, 0.417, 0.417, 1
13, P3M1, 4, 6, -0.308, 0.492, 0.492, 1
13, P3M1, 3, 7, -0.018, 0.958, 0.958, 1
13, P3M1, 2, 7, -0.664, 0.217, 0.217, 1
13, P3M1, 4, 7, -0.407, 0.392, 0.392, 0
13, P3M1, 1, 7, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 8, -0.171, 0.675, 0.675, 1
13, P3M1, 1, 8, -0.018, 0.958, 0.958, 1
13, P3M1, 2, 8, -0.875, 0.133, 0.133, 0
13, P3M1, 3, 8, -0.018, 0.958, 0.958, 1
13, P3M1, 1, 9, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 9, -0.240, 0.575, 0.575, 0
13, P3M1, 2, 9, -0.488, 0.325, 0.325, 1
13, P3M1, 3, 9, -0.046, 0.900, 0.900, 1
13, P3M1, 2, 10, -0.648, 0.225, 0.225, 0
13, P3M1, 1, 10, -0.018, 0.958, 0.958, 1
13, P3M1, 3, 10, -0.106, 0.783, 0.783, 1
13, P3M1, 4, 10, -0.046, 0.900, 0.900, 1
13, P3M1, 2, 11, -0.280, 0.525, 0.525, 0
13, P3M1, 1, 11, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 11, -0.120, 0.758, 0.758, 1
13, P3M1, 3, 11, -0.155, 0.700, 0.700, 0
13, P3M1, 3, 12, -0.018, 0.958, 0.958, 1
13, P3M1, 2, 12, -0.018, 0.958, 0.958, 1
13, P3M1, 1, 12, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 12, -0.165, 0.683, 0.683, 1
13, P3M1, 3, 13, -0.062, 0.867, 0.867, 0
13, P3M1, 1, 13, -0.018, 0.958, 0.958, 1
13, P3M1, 2, 13, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 13, -0.198, 0.633, 0.633, 1
13, P3M1, 3, 14, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 14, -0.228, 0.592, 0.592, 1
13, P3M1, 1, 14, -0.019, 0.958, 0.958, 1
13, P3M1, 2, 14, -0.058, 0.875, 0.875, 1
13, P3M1, 1, 15, -0.018, 0.958, 0.958, 1
13, P3M1, 2, 15, -0.155, 0.700, 0.700, 1
13, P3M1, 4, 15, -0.247, 0.567, 0.567, 1
13, P3M1, 3, 15, -0.018, 0.958, 0.958, 1
13, P3M1, 3, 16, -0.018, 0.958, 0.958, 1
13, P3M1, 2, 16, -0.222, 0.600, 0.600, 1
13, P3M1, 4, 16, -0.273, 0.533, 0.533, 1
13, P3M1, 1, 16, -0.018, 0.958, 0.958, 0
13, P3M1, 2, 17, -0.280, 0.525, 0.525, 1
13, P3M1, 1, 17, -0.018, 0.958, 0.958, 1
13, P3M1, 3, 17, -0.046, 0.900, 0.900, 1
13, P3M1, 4, 17, -0.294, 0.508, 0.508, 1
13, P3M1, 1, 18, -0.018, 0.958, 0.958, 1
13, P3M1, 3, 18, -0.066, 0.858, 0.858, 1
13, P3M1, 4, 18, -0.308, 0.492, 0.492, 1
13, P3M1, 2, 18, -0.339, 0.458, 0.458, 1
13, P3M1, 3, 19, -0.084, 0.825, 0.825, 1
13, P3M1, 2, 19, -0.398, 0.400, 0.400, 1
13, P3M1, 1, 19, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 19, -0.331, 0.467, 0.467, 1
13, P3M1, 1, 20, -0.018, 0.958, 0.958, 1
13, P3M1, 4, 20, -0.355, 0.442, 0.442, 1
13, P3M1, 2, 20, -0.466, 0.342, 0.342, 1
13, P3M1, 3, 20, -0.097, 0.800, 0.800, 1
13, P3M1, 3, 21, -0.111, 0.775, 0.775, 1
13, P3M1, 1, 21, -0.030, 0.933, 0.933, 1
13, P3M1, 4, 21, -0.372, 0.425, 0.425, 1
13, P3M1, 2, 21, -0.535, 0.292, 0.292, 1
13, P3M1, 4, 22, -0.398, 0.400, 0.400, 1
13, P3M1, 2, 22, -0.602, 0.250, 0.250, 1
13, P3M1, 3, 22, -0.125, 0.750, 0.750, 1
13, P3M1, 1, 22, -0.050, 0.892, 0.892, 1
