person, group, rep, n, t, t1, t2, correct
14, P31M, 0, 1, -0.301, 0.458, 0.458, 1
14, P31M, 0, 2, -0.301, 0.458, 0.458, 1
14, P31M, 0, 3, -0.301, 0.458, 0.458, 1
14, P31M, 0, 4, -0.301, 0.458, 0.458, 1
14, P31M, 0, 5, -0.301, 0.458, 0.458, 1
14, P31M, 0, 6, -0.301, 0.458, 0.458, 1
14, P31M, 0, 7, -0.301, 0.458, 0.458, 1
14, P31M, 0, 8, -0.301, 0.458, 0.458, 1
14, P31M, 0, 9, -0.301, 0.458, 0.458, 1
14, P31M, 0, 10, -0.301, 0.458, 0.458, 1
14, P31M, 3, 1, -1.176, 0.067, 0.067, 0
14, P31M, 1, 1, -0.389, 0.408, 0.408, 1
14, P31M, 2, 1, -0.737, 0.183, 0.183, 1
14, P31M, 4, 1, -2.085, 0.008, 0.008, 1
14, P31M, 1, 2, -1.038, 0.092, 0.092, 1
14, P31M, 2, 2, -1.602, 0.025, 0.025, 0
14, P31M, 4, 2, -2.081, 0.008, 0.008, 0
14, P31M, 3, 2, -0.018, 0.958, 0.958, 1
14, P31M, 3, 3, -0.294, 0.508, 0.508, 1
14, P31M, 2, 3, -0.446, 0.358, 0.358, 1
14, P31M, 4, 3, -0.737, 0.183, 0.183, 1
14, P31M, 1, 3, -2.084, 0.008, 0.008, 1
14, P31M, 3, 4, -0.535, 0.292, 0.292, 1
14, P31M, 2, 4, -0.875, 0.133, 0.133, 1
14, P31M, 1, 4, -2.078, 0.008, 0.008, 0
14, P31M, 4, 4, -1.301, 0.050, 0.050, 1
14, P31M, 1, 5, -1.234, 0.058, 0.058, 1
14, P31M, 3, 5, -0.737, 0.183, 0.183, 1
14, P31M, 4, 5, -2.080, 0.008, 0.008, 0
14, P31M, 2, 5, -1.176, 0.067, 0.067, 1
14, P31M, 4, 6, -1.604, 0.025, 0.025, 0
14, P31M, 3, 6, -0.933, 0.117, 0.117, 1
14, P31M, 2, 6, -1.478, 0.033, 0.033, 1
14, P31M, 1, 6, -2.080, 0.008, 0.008, 0
14, P31M, 1, 7, -1.603, 0.025, 0.025, 1
14, P31M, 2, 7, -2.078, 0.008, 0.008, 1
14, P31M, 3, 7, -1.125, 0.075, 0.075, 1
14, P31M, 4, 7, -0.903, 0.125, 0.125, 1
14, P31M, 3, 8, -1.381, 0.042, 0.042, 0
14, P31M, 2, 8, -2.080, 0.008, 0.008, 0
14, P31M, 1, 8, -2.081, 0.008, 0.008, 0
14, P31M, 4, 8, -1.301, 0.050, 0.050, 0
14, P31M, 2, 9, -1.603, 0.025, 0.025, 0
14, P31M, 4, 9, -0.824, 0.150, 0.150, 1
14, P31M, 1, 9, -2.083, 0.008, 0.008, 1
14, P31M, 3, 9, -1.037, 0.092, 0.092, 1
14, P31M, 3, 10, -1.176, 0.067, 0.067, 1
14, P31M, 4, 10, -1.079, 0.083, 0.083, 1
14, P31M, 1, 10, -2.080, 0.008, 0.008, 1
14, P31M, 2, 10, -1.380, 0.042, 0.042, 1
14, P31M, 3, 11, -1.301, 0.050, 0.050, 1
14, P31M, 4, 11, -1.234, 0.058, 0.058, 1
14, P31M, 2, 11, -1.602, 0.025, 0.025, 1
14, P31M, 1, 11, -2.079, 0.008, 0.008, 0
14, P31M, 2, 12, -1.778, 0.017, 0.017, 1
14, P31M, 4, 12, -1.380, 0.042, 0.042, 1
14, P31M, 1, 12, -2.078, 0.008, 0.008, 1
14, P31M, 3, 12, -1.380, 0.042, 0.042, 0
14, P31M, 4, 13, -1.536, 0.033, 0.025, 1
14, P31M, 3, 13, -1.234, 0.058, 0.058, 1
14, P31M, 2, 13, -2.081, 0.008, 0.008, 0
14, P31M, 1, 13, -2.081, 0.008, 0.008, 1
14, P31M, 2, 14, -1.778, 0.017, 0.017, 1
14, P31M, 3, 14, -1.301, 0.050, 0.050, 1
14, P31M, 4, 14, -1.602, 0.025, 0.025, 0
14, P31M, 1, 14, -2.080, 0.008, 0.008, 1
14, P31M, 2, 15, -2.082, 0.008, 0.008, 0
14, P31M, 3, 15, -1.380, 0.042, 0.042, 1
14, P31M, 4, 15, -1.479, 0.033, 0.033, 1
14, P31M, 1, 15, -2.079, 0.008, 0.008, 0
14, P31M, 2, 16, -2.081, 0.008, 0.008, 0
14, P31M, 3, 16, -1.477, 0.033, 0.033, 1
14, P31M, 1, 16, -2.084, 0.008, 0.008, 0
14, P31M, 4, 16, -1.603, 0.025, 0.025, 0
14, P31M, 1, 17, -2.084, 0.008, 0.008, 0
14, P31M, 4, 17, -1.603, 0.025, 0.025, 1
14, P31M, 3, 17, -1.603, 0.025, 0.025, 0
14, P31M, 2, 17, -2.080, 0.008, 0.008, 0
14, P31M, 1, 18, -2.079, 0.008, 0.008, 0
14, P31M, 3, 18, -1.477, 0.033, 0.033, 1
14, P31M, 4, 18, -1.602, 0.025, 0.025, 1
14, P31M, 2, 18, -2.081, 0.008, 0.008, 0
14, P31M, 2, 19, -2.082, 0.008, 0.008, 1
14, P31M, 3, 19, -1.477, 0.033, 0.033, 1
14, P31M, 4, 19, -1.603, 0.025, 0.025, 1
14, P31M, 1, 19, -2.082, 0.008, 0.008, 1
14, P31M, 2, 20, -2.083, 0.008, 0.008, 0
14, P31M, 1, 20, -2.086, 0.008, 0.008, 1
14, P31M, 4, 20, -1.779, 0.017, 0.017, 0
14, P31M, 3, 20, -1.603, 0.025, 0.025, 0
14, P31M, 2, 21, -2.082, 0.008, 0.008, 0
14, P31M, 3, 21, -1.478, 0.033, 0.033, 1
14, P31M, 1, 21, -2.082, 0.008, 0.008, 1
