person, group, rep, n, t, t1, t2, correct
16, PGG, 0, 1, -0.301, 0.458, 0.458, 0
16, PGG, 0, 2, -0.301, 0.458, 0.458, 1
16, PGG, 0, 3, -0.301, 0.458, 0.458, 1
16, PGG, 0, 4, -0.301, 0.458, 0.458, 0
16, PGG, 0, 5, -0.301, 0.458, 0.458, 1
16, PGG, 0, 6, -0.301, 0.458, 0.458, 1
16, PGG, 0, 7, -0.301, 0.458, 0.458, 1
16, PGG, 0, 8, -0.301, 0.458, 0.458, 1
16, PGG, 0, 9, -0.301, 0.458, 0.458, 1
16, PGG, 0, 10, -0.301, 0.458, 0.458, 1
16, PGG, 0, 1, -0.301, 0.458, 0.458, 1
16, PGG, 0, 2, -0.301, 0.458, 0.458, 1
16, PGG, 0, 3, -0.301, 0.458, 0.458, 1
16, PGG, 0, 4, -0.301, 0.458, 0.458, 1
16, PGG, 0, 5, -0.301, 0.458, 0.458, 1
16, PGG, 0, 6, -0.301, 0.458, 0.458, 1
16, PGG, 0, 7, -0.301, 0.458, 0.458, 1
16, PGG, 0, 8, -0.301, 0.458, 0.458, 0
16, PGG, 0, 9, -0.301, 0.458, 0.458, 1
16, PGG, 0, 10, -0.301, 0.458, 0.458, 1
16, PGG, 4, 1, -2.074, 0.008, 0.008, 1
16, PGG, 3, 1, -1.176, 0.067, 0.067, 1
16, PGG, 2, 1, -0.737, 0.183, 0.183, 1
16, PGG, 1, 1, -0.389, 0.408, 0.408, 0
16, PGG, 1, 2, -0.018, 0.958, 0.958, 1
16, PGG, 4, 2, -2.082, 0.008, 0.008, 0
16, PGG, 3, 2, -2.081, 0.008, 0.008, 0
16, PGG, 2, 2, -1.604, 0.025, 0.025, 1
16, PGG, 1, 3, -0.018, 0.958, 0.958, 1
16, PGG, 3, 3, -0.903, 0.125, 0.125, 1
16, PGG, 4, 3, -0.737, 0.183, 0.183, 1
16, PGG, 2, 3, -2.082, 0.008, 0.008, 1
16, PGG, 3, 4, -1.603, 0.025, 0.025, 1
16, PGG, 4, 4, -1.302, 0.050, 0.050, 1
16, PGG, 2, 4, -2.085, 0.008, 0.008, 0
16, PGG, 1, 4, -0.018, 0.958, 0.958, 1
16, PGG, 4, 5, -2.080, 0.008, 0.008, 1
16, PGG, 2, 5, -1.380, 0.042, 0.042, 0
16, PGG, 3, 5, -2.086, 0.008, 0.008, 1
16, PGG, 1, 5, -0.135, 0.733, 0.733, 1
16, PGG, 3, 6, -2.080, 0.008, 0.008, 1
16, PGG, 4, 6, -2.079, 0.008, 0.008, 1
16, PGG, 2, 6, -0.260, 0.550, 0.550, 1
16, PGG, 1, 6, -0.253, 0.558, 0.558, 1
16, PGG, 4, 7, -2.081, 0.008, 0.008, 1
16, PGG, 2, 7, -0.681, 0.208, 0.208, 1
16, PGG, 1, 7, -0.363, 0.433, 0.433, 1
16, PGG, 3, 7, -2.077, 0.008, 0.008, 1
16, PGG, 1, 8, -0.535, 0.292, 0.292, 1
16, PGG, 3, 8, -2.081, 0.008, 0.008, 0
16, PGG, 2, 8, -0.966, 0.108, 0.108, 1
16, PGG, 4, 8, -2.082, 0.008, 0.008, 1
16, PGG, 3, 9, -2.077, 0.008, 0.008, 0
16, PGG, 4, 9, -2.077, 0.008, 0.008, 0
16, PGG, 2, 9, -1.176, 0.067, 0.067, 1
16, PGG, 1, 9, -1.079, 0.083, 0.083, 1
16, PGG, 4, 10, -2.079, 0.008, 0.008, 0
16, PGG, 3, 10, -2.082, 0.008, 0.008, 0
16, PGG, 2, 10, -1.479, 0.033, 0.033, 0
16, PGG, 1, 10, -2.081, 0.008, 0.008, 0
16, PGG, 1, 11, -1.125, 0.075, 0.075, 1
16, PGG, 3, 11, -2.081, 0.008, 0.008, 0
16, PGG, 2, 11, -1.177, 0.067, 0.067, 1
16, PGG, 4, 11, -2.077, 0.008, 0.008, 0
16, PGG, 4, 12, -1.605, 0.025, 0.025, 0
16, PGG, 2, 12, -1.381, 0.042, 0.042, 0
16, PGG, 3, 12, -1.778, 0.017, 0.017, 1
16, PGG, 1, 12, -1.781, 0.017, 0.017, 0
16, PGG, 3, 13, -2.083, 0.008, 0.008, 0
16, PGG, 4, 13, -0.933, 0.117, 0.117, 1
16, PGG, 2, 13, -1.235, 0.058, 0.058, 0
16, PGG, 1, 13, -1.302, 0.050, 0.050, 1
16, PGG, 3, 14, -2.082, 0.008, 0.008, 0
16, PGG, 1, 14, -1.780, 0.017, 0.017, 0
16, PGG, 4, 14, -1.302, 0.050, 0.050, 1
