person, group, rep, n, t, t1, t2, correct
2, CMM, 0, 1, -0.301, 0.453, 0.455, 1
2, CMM, 0, 2, -0.301, 0.451, 0.455, 1
2, CMM, 0, 3, -0.301, 0.451, 0.453, 0
2, CMM, 0, 4, -0.301, 0.451, 0.451, 0
2, CMM, 0, 5, -0.301, 0.453, 0.455, 0
2, CMM, 0, 6, -0.301, 0.451, 0.451, 0
2, CMM, 0, 7, -0.301, 0.451, 0.451, 0
2, CMM, 0, 8, -0.301, 0.451, 0.455, 1
2, CMM, 0, 9, -0.301, 0.453, 0.455, 1
2, CMM, 0, 10, -0.301, 0.453, 0.451, 0
2, CMM, 0, 1, -0.301, 0.451, 0.455, 1
2, CMM, 0, 2, -0.301, 0.451, 0.453, 1
2, CMM, 0, 3, -0.301, 0.451, 0.453, 1
2, CMM, 0, 4, -0.301, 0.451, 0.455, 1
2, CMM, 0, 5, -0.301, 0.451, 0.451, 0
2, CMM, 0, 6, -0.301, 0.453, 0.456, 0
2, CMM, 0, 7, -0.301, 0.455, 0.455, 0
2, CMM, 0, 8, -0.301, 0.455, 0.455, 1
2, CMM, 0, 9, -0.301, 0.453, 0.455, 1
2, CMM, 0, 10, -0.301, 0.455, 0.455, 1
2, CMM, 0, 1, -0.301, 0.451, 0.453, 1
2, CMM, 0, 2, -0.301, 0.451, 0.455, 1
2, CMM, 0, 3, -0.301, 0.451, 0.451, 1
2, CMM, 0, 4, -0.301, 0.451, 0.455, 1
2, CMM, 0, 5, -0.301, 0.451, 0.451, 1
2, CMM, 0, 6, -0.301, 0.451, 0.451, 1
2, CMM, 0, 7, -0.301, 0.451, 0.453, 1
2, CMM, 0, 8, -0.301, 0.451, 0.451, 1
2, CMM, 0, 9, -0.301, 0.451, 0.451, 1
2, CMM, 0, 10, -0.301, 0.453, 0.455, 1
2, CMM, 4, 1, -2.072, 0.010, 0.007, 1
2, CMM, 2, 1, -0.754, 0.176, 0.176, 1
2, CMM, 1, 1, -0.395, 0.401, 0.403, 1
2, CMM, 3, 1, -1.182, 0.068, 0.063, 0
2, CMM, 2, 2, -1.697, 0.018, 0.022, 0
2, CMM, 1, 2, -1.045, 0.090, 0.091, 1
2, CMM, 4, 2, -2.253, 0.006, 0.005, 0
2, CMM, 3, 2, -0.021, 0.951, 0.953, 1
2, CMM, 2, 3, -0.513, 0.308, 0.306, 1
2, CMM, 4, 3, -0.886, 0.130, 0.130, 1
2, CMM, 3, 3, -0.300, 0.500, 0.503, 1
2, CMM, 1, 3, -2.289, 0.003, 0.007, 1
2, CMM, 4, 4, -1.652, 0.022, 0.022, 0
2, CMM, 3, 4, -0.547, 0.285, 0.283, 0
2, CMM, 2, 4, -0.957, 0.110, 0.111, 1
2, CMM, 1, 4, -2.193, 0.007, 0.005, 1
2, CMM, 3, 5, -0.034, 0.925, 0.925, 1
2, CMM, 4, 5, -0.751, 0.175, 0.180, 1
2, CMM, 2, 5, -1.317, 0.050, 0.047, 1
2, CMM, 1, 5, -2.231, 0.006, 0.006, 1
2, CMM, 4, 6, -1.148, 0.070, 0.073, 1
2, CMM, 3, 6, -0.196, 0.635, 0.639, 0
2, CMM, 1, 6, -2.169, 0.008, 0.005, 0
2, CMM, 2, 6, -1.757, 0.015, 0.020, 0
2, CMM, 3, 7, -0.021, 0.951, 0.955, 1
2, CMM, 4, 7, -1.501, 0.033, 0.031, 1
2, CMM, 1, 7, -2.035, 0.009, 0.009, 0
2, CMM, 2, 7, -1.412, 0.037, 0.041, 1
2, CMM, 1, 8, -1.053, 0.086, 0.091, 1
2, CMM, 3, 8, -0.020, 0.953, 0.955, 1
2, CMM, 2, 8, -1.806, 0.018, 0.014, 0
2, CMM, 4, 8, -1.934, 0.010, 0.013, 1
2, CMM, 4, 9, -2.123, 0.009, 0.006, 0
2, CMM, 3, 9, -0.055, 0.881, 0.880, 0
2, CMM, 1, 9, -1.714, 0.019, 0.020, 0
2, CMM, 2, 9, -1.654, 0.022, 0.022, 1
2, CMM, 2, 10, -1.868, 0.011, 0.016, 0
2, CMM, 4, 10, -1.827, 0.016, 0.013, 0
2, CMM, 1, 10, -1.213, 0.061, 0.061, 1
2, CMM, 3, 10, -0.022, 0.951, 0.951, 0
2, CMM, 3, 11, -0.020, 0.953, 0.955, 0
2, CMM, 2, 11, -1.802, 0.017, 0.015, 0
2, CMM, 4, 11, -1.639, 0.024, 0.022, 1
2, CMM, 1, 11, -1.650, 0.023, 0.022, 1
2, CMM, 3, 12, -0.020, 0.953, 0.955, 1
2, CMM, 2, 12, -1.698, 0.018, 0.022, 0
2, CMM, 1, 12, -1.991, 0.010, 0.010, 0
2, CMM, 4, 12, -1.943, 0.011, 0.012, 0
2, CMM, 2, 13, -1.535, 0.028, 0.030, 1
2, CMM, 1, 13, -1.859, 0.014, 0.014, 0
2, CMM, 3, 13, -0.020, 0.953, 0.956, 1
2, CMM, 4, 13, -1.840, 0.014, 0.015, 0
2, CMM, 1, 14, -1.699, 0.018, 0.022, 1
2, CMM, 2, 14, -1.884, 0.013, 0.013, 0
2, CMM, 3, 14, -0.020, 0.953, 0.955, 1
2, CMM, 4, 14, -1.718, 0.019, 0.020, 0
2, CMM, 3, 15, -0.020, 0.953, 0.955, 1
2, CMM, 1, 15, -1.981, 0.010, 0.011, 0
2, CMM, 4, 15, -1.520, 0.030, 0.030, 0
2, CMM, 2, 15, -1.820, 0.015, 0.015, 1
2, CMM, 3, 16, -0.020, 0.953, 0.955, 0
2, CMM, 4, 16, -1.263, 0.053, 0.056, 0
2, CMM, 2, 16, -1.894, 0.012, 0.013, 0
2, CMM, 1, 16, -1.925, 0.012, 0.012, 1
2, CMM, 4, 17, -0.863, 0.135, 0.139, 1
2, CMM, 3, 17, -0.022, 0.951, 0.951, 1
2, CMM, 1, 17, -2.007, 0.010, 0.010, 1
2, CMM, 2, 17, -1.833, 0.014, 0.016, 0
2, CMM, 2, 18, -1.785, 0.017, 0.016, 0
2, CMM, 4, 18, -1.116, 0.075, 0.078, 0
2, CMM, 1, 18, -1.997, 0.011, 0.009, 1
2, CMM, 3, 18, -0.020, 0.953, 0.955, 1
2, CMM, 4, 19, -0.792, 0.162, 0.161, 0
2, CMM, 1, 19, -2.028, 0.007, 0.011, 0
2, CMM, 3, 19, -0.022, 0.951, 0.951, 1
2, CMM, 2, 19, -1.636, 0.024, 0.022, 0
2, CMM, 4, 20, -0.053, 0.886, 0.883, 1
2, CMM, 2, 20, -1.492, 0.034, 0.031, 1
2, CMM, 3, 20, -0.021, 0.951, 0.955, 0
2, CMM, 1, 20, -2.039, 0.010, 0.009, 0
2, CMM, 1, 21, -1.929, 0.010, 0.014, 0
2, CMM, 3, 21, -0.021, 0.951, 0.953, 1
2, CMM, 2, 21, -1.796, 0.016, 0.016, 1
2, CMM, 4, 21, -0.292, 0.511, 0.509, 1
2, CMM, 1, 22, -1.855, 0.014, 0.014, 1
2, CMM, 3, 22, -0.020, 0.953, 0.956, 0
2, CMM, 4, 22, -0.483, 0.328, 0.330, 1
2, CMM, 2, 22, -1.833, 0.014, 0.016, 1
2, CMM, 3, 23, -0.021, 0.951, 0.955, 1
2, CMM, 4, 23, -0.635, 0.232, 0.232, 1
2, CMM, 1, 23, -2.064, 0.009, 0.009, 0
2, CMM, 2, 23, -1.830, 0.016, 0.014, 1
2, CMM, 1, 24, -1.981, 0.010, 0.011, 0
2, CMM, 4, 24, -0.747, 0.178, 0.180, 0
2, CMM, 2, 24, -1.870, 0.013, 0.014, 1
2, CMM, 3, 24, -0.020, 0.956, 0.955, 1
2, CMM, 2, 25, -1.962, 0.009, 0.013, 1
2, CMM, 4, 25, -0.516, 0.303, 0.307, 1
2, CMM, 3, 25, -0.021, 0.951, 0.953, 0
2, CMM, 1, 25, -1.903, 0.011, 0.014, 1
2, CMM, 2, 26, -2.063, 0.010, 0.008, 0
2, CMM, 1, 26, -1.970, 0.013, 0.009, 0
2, CMM, 4, 26, -0.607, 0.247, 0.247, 1
2, CMM, 3, 26, -0.020, 0.956, 0.955, 1
2, CMM, 2, 27, -2.080, 0.009, 0.008, 0
2, CMM, 1, 27, -1.845, 0.015, 0.014, 0
2, CMM, 3, 27, -0.022, 0.951, 0.951, 1
2, CMM, 4, 27, -0.673, 0.211, 0.214, 0
2, CMM, 2, 28, -2.044, 0.010, 0.008, 1
2, CMM, 3, 28, -0.022, 0.951, 0.951, 0
2, CMM, 4, 28, -0.529, 0.294, 0.297, 1
2, CMM, 1, 28, -1.785, 0.018, 0.015, 0
2, CMM, 4, 29, -0.593, 0.255, 0.255, 0
2, CMM, 3, 29, -0.021, 0.951, 0.955, 1
2, CMM, 1, 29, -1.682, 0.020, 0.022, 0
2, CMM, 2, 29, -2.041, 0.010, 0.008, 0
2, CMM, 4, 30, -0.452, 0.353, 0.353, 0
2, CMM, 2, 30, -2.068, 0.008, 0.009, 0
2, CMM, 1, 30, -1.499, 0.033, 0.030, 0
2, CMM, 3, 30, -0.020, 0.956, 0.956, 0
2, CMM, 3, 31, -0.021, 0.951, 0.953, 1
2, CMM, 4, 31, -0.182, 0.659, 0.656, 0
2, CMM, 2, 31, -2.040, 0.009, 0.009, 1
2, CMM, 1, 31, -1.190, 0.065, 0.064, 0
2, CMM, 3, 32, -0.020, 0.956, 0.956, 1
2, CMM, 1, 32, -0.447, 0.358, 0.356, 1
2, CMM, 4, 32, -0.022, 0.951, 0.951, 1
2, CMM, 2, 32, -2.072, 0.008, 0.009, 0
2, CMM, 2, 33, -2.000, 0.009, 0.011, 1
2, CMM, 4, 33, -0.021, 0.951, 0.953, 1
2, CMM, 1, 33, -0.794, 0.158, 0.163, 0
2, CMM, 3, 33, -0.020, 0.956, 0.955, 0
2, CMM, 2, 34, -2.066, 0.009, 0.008, 1
2, CMM, 1, 34, -0.024, 0.946, 0.947, 1
