person, group, rep, n, t, t1, t2, correct
4, PM, 0, 1, -0.301, 0.454, 0.455, 1
4, PM, 0, 2, -0.301, 0.451, 0.455, 1
4, PM, 0, 3, -0.301, 0.451, 0.455, 1
4, PM, 0, 4, -0.301, 0.451, 0.452, 1
4, PM, 0, 5, -0.301, 0.452, 0.455, 1
4, PM, 0, 6, -0.301, 0.452, 0.451, 1
4, PM, 0, 7, -0.301, 0.452, 0.451, 1
4, PM, 0, 8, -0.301, 0.455, 0.451, 1
4, PM, 0, 9, -0.301, 0.451, 0.451, 1
4, PM, 0, 10, -0.301, 0.451, 0.451, 1
4, PM, 2, 1, -0.746, 0.179, 0.180, 1
4, PM, 1, 1, -0.394, 0.401, 0.405, 1
4, PM, 3, 1, -1.193, 0.065, 0.064, 0
4, PM, 4, 1, -2.055, 0.010, 0.007, 0
4, PM, 1, 2, -1.043, 0.092, 0.089, 1
4, PM, 4, 2, -0.591, 0.257, 0.255, 1
4, PM, 2, 2, -1.735, 0.018, 0.019, 1
4, PM, 3, 2, -0.021, 0.953, 0.955, 1
4, PM, 2, 3, -2.209, 0.007, 0.006, 1
4, PM, 1, 3, -2.182, 0.007, 0.006, 0
4, PM, 3, 3, -0.306, 0.495, 0.495, 1
4, PM, 4, 3, -1.058, 0.087, 0.088, 1
4, PM, 1, 4, -1.193, 0.064, 0.064, 0
4, PM, 2, 4, -2.263, 0.005, 0.006, 1
4, PM, 3, 4, -0.551, 0.279, 0.282, 1
4, PM, 4, 4, -1.657, 0.022, 0.022, 1
4, PM, 1, 5, -0.196, 0.638, 0.634, 1
4, PM, 4, 5, -2.267, 0.005, 0.006, 1
4, PM, 2, 5, -2.088, 0.011, 0.006, 1
4, PM, 3, 5, -0.766, 0.170, 0.172, 1
4, PM, 1, 6, -0.550, 0.284, 0.280, 0
4, PM, 4, 6, -2.301, 0.004, 0.006, 0
4, PM, 2, 6, -2.205, 0.007, 0.006, 1
4, PM, 3, 6, -0.975, 0.106, 0.106, 1
4, PM, 3, 7, -1.177, 0.068, 0.065, 1
4, PM, 4, 7, -2.083, 0.011, 0.006, 0
4, PM, 2, 7, -2.141, 0.009, 0.006, 0
4, PM, 1, 7, -0.021, 0.953, 0.955, 1
4, PM, 2, 8, -2.080, 0.011, 0.006, 0
4, PM, 3, 8, -1.448, 0.035, 0.036, 0
4, PM, 4, 8, -1.860, 0.014, 0.014, 0
4, PM, 1, 8, -0.112, 0.773, 0.772, 1
4, PM, 3, 9, -1.062, 0.085, 0.089, 1
4, PM, 4, 9, -1.418, 0.038, 0.039, 0
4, PM, 1, 9, -0.279, 0.527, 0.525, 1
4, PM, 2, 9, -1.273, 0.052, 0.055, 0
4, PM, 3, 10, -1.223, 0.059, 0.061, 0
4, PM, 1, 10, -0.380, 0.415, 0.419, 1
4, PM, 2, 10, -0.141, 0.722, 0.722, 0
4, PM, 4, 10, -0.815, 0.152, 0.154, 1
4, PM, 3, 11, -1.036, 0.093, 0.091, 0
4, PM, 4, 11, -1.121, 0.074, 0.077, 0
4, PM, 2, 11, -0.022, 0.951, 0.952, 1
4, PM, 1, 11, -0.458, 0.349, 0.348, 0
4, PM, 2, 12, -0.021, 0.951, 0.955, 1
4, PM, 1, 12, -0.270, 0.537, 0.538, 1
4, PM, 3, 12, -0.804, 0.157, 0.157, 1
4, PM, 4, 12, -0.686, 0.206, 0.206, 1
4, PM, 1, 13, -0.334, 0.463, 0.464, 0
4, PM, 4, 13, -0.908, 0.123, 0.124, 0
4, PM, 2, 13, -0.021, 0.951, 0.955, 1
4, PM, 3, 13, -0.929, 0.116, 0.119, 1
4, PM, 1, 14, -0.150, 0.708, 0.707, 1
4, PM, 2, 14, -0.022, 0.951, 0.951, 1
4, PM, 3, 14, -1.028, 0.094, 0.094, 1
4, PM, 4, 14, -0.501, 0.316, 0.315, 1
4, PM, 2, 15, -0.124, 0.752, 0.752, 1
4, PM, 1, 15, -0.229, 0.590, 0.590, 1
4, PM, 3, 15, -1.091, 0.080, 0.083, 0
4, PM, 4, 15, -0.713, 0.193, 0.194, 0
4, PM, 4, 16, -0.266, 0.542, 0.542, 1
4, PM, 1, 16, -0.275, 0.531, 0.531, 1
4, PM, 2, 16, -0.274, 0.531, 0.533, 0
4, PM, 3, 16, -1.001, 0.100, 0.099, 1
4, PM, 2, 17, -0.022, 0.951, 0.951, 1
4, PM, 4, 17, -0.482, 0.329, 0.331, 1
4, PM, 3, 17, -1.061, 0.085, 0.089, 0
4, PM, 1, 17, -0.307, 0.494, 0.492, 1
4, PM, 3, 18, -0.974, 0.105, 0.108, 1
4, PM, 4, 18, -0.600, 0.250, 0.252, 0
4, PM, 2, 18, -0.045, 0.902, 0.903, 0
4, PM, 1, 18, -0.334, 0.464, 0.464, 0
4, PM, 2, 19, -0.021, 0.951, 0.955, 0
4, PM, 4, 19, -0.334, 0.463, 0.464, 1
4, PM, 3, 19, -1.037, 0.093, 0.091, 0
4, PM, 1, 19, -0.258, 0.551, 0.554, 1
4, PM, 1, 20, -0.282, 0.522, 0.522, 1
4, PM, 2, 20, -0.021, 0.951, 0.954, 0
4, PM, 3, 20, -0.952, 0.111, 0.113, 1
4, PM, 4, 20, -0.459, 0.348, 0.347, 0
4, PM, 4, 21, -0.128, 0.745, 0.745, 0
4, PM, 2, 21, -0.020, 0.955, 0.955, 1
4, PM, 1, 21, -0.303, 0.498, 0.497, 1
4, PM, 3, 21, -1.011, 0.098, 0.097, 0
4, PM, 1, 22, -0.322, 0.478, 0.475, 1
4, PM, 2, 22, -0.022, 0.951, 0.951, 1
4, PM, 4, 22, -0.020, 0.955, 0.955, 1
4, PM, 3, 22, -0.928, 0.119, 0.117, 1
4, PM, 1, 23, -0.337, 0.459, 0.461, 1
4, PM, 3, 23, -0.982, 0.103, 0.106, 1
4, PM, 4, 23, -0.021, 0.951, 0.955, 1
4, PM, 2, 23, -0.021, 0.952, 0.955, 0
4, PM, 3, 24, -1.034, 0.092, 0.093, 0
4, PM, 4, 24, -0.020, 0.952, 0.955, 0
4, PM, 2, 24, -0.022, 0.951, 0.951, 1
4, PM, 1, 24, -0.352, 0.445, 0.445, 1
4, PM, 3, 25, -0.976, 0.106, 0.106, 1
4, PM, 2, 25, -0.020, 0.955, 0.955, 1
4, PM, 1, 25, -0.365, 0.432, 0.432, 0
4, PM, 4, 25, -0.022, 0.951, 0.951, 1
4, PM, 3, 26, -1.019, 0.096, 0.096, 0
4, PM, 1, 26, -0.325, 0.473, 0.472, 1
4, PM, 2, 26, -0.021, 0.954, 0.951, 1
4, PM, 4, 26, -0.021, 0.951, 0.952, 1
4, PM, 1, 27, -0.336, 0.459, 0.463, 1
4, PM, 2, 27, -0.022, 0.951, 0.951, 0
4, PM, 3, 27, -0.953, 0.110, 0.113, 1
4, PM, 4, 27, -0.022, 0.951, 0.951, 1
4, PM, 3, 28, -0.998, 0.101, 0.100, 1
4, PM, 1, 28, -0.347, 0.450, 0.448, 0
4, PM, 2, 28, -0.021, 0.951, 0.955, 1
4, PM, 4, 28, -0.021, 0.951, 0.955, 0
4, PM, 4, 29, -0.021, 0.951, 0.955, 0
4, PM, 2, 29, -0.021, 0.951, 0.953, 0
4, PM, 3, 29, -1.030, 0.094, 0.093, 0
4, PM, 1, 29, -0.318, 0.481, 0.481, 1
4, PM, 4, 30, -0.021, 0.951, 0.955, 0
4, PM, 3, 30, -0.976, 0.106, 0.105, 0
4, PM, 1, 30, -0.328, 0.470, 0.470, 1
4, PM, 2, 30, -0.022, 0.951, 0.951, 1
4, PM, 2, 31, -0.021, 0.951, 0.955, 0
4, PM, 1, 31, -0.337, 0.460, 0.461, 0
4, PM, 4, 31, -0.021, 0.952, 0.955, 1
4, PM, 3, 31, -0.919, 0.120, 0.121, 0
4, PM, 3, 32, -0.819, 0.153, 0.151, 1
4, PM, 2, 32, -0.021, 0.952, 0.955, 1
4, PM, 1, 32, -0.310, 0.491, 0.489, 1
4, PM, 4, 32, -0.021, 0.954, 0.951, 1
4, PM, 4, 33, -0.021, 0.953, 0.955, 1
4, PM, 3, 33, -0.883, 0.129, 0.133, 1
4, PM, 2, 33, -0.021, 0.951, 0.953, 0
4, PM, 1, 33, -0.319, 0.479, 0.480, 1
4, PM, 4, 34, -0.021, 0.951, 0.955, 1
4, PM, 2, 34, -0.021, 0.952, 0.955, 1
4, PM, 1, 34, -0.326, 0.470, 0.474, 0
4, PM, 3, 34, -0.929, 0.116, 0.119, 1
4, PM, 4, 35, -0.021, 0.955, 0.951, 1
4, PM, 3, 35, -0.961, 0.111, 0.108, 0
4, PM, 1, 35, -0.302, 0.499, 0.499, 0
4, PM, 2, 35, -0.022, 0.951, 0.951, 1
4, PM, 4, 36, -0.020, 0.954, 0.955, 1
4, PM, 1, 36, -0.272, 0.536, 0.532, 1
4, PM, 3, 36, -0.917, 0.121, 0.121, 1
4, PM, 2, 36, -0.022, 0.951, 0.951, 1
4, PM, 2, 37, -0.021, 0.952, 0.955, 1
4, PM, 3, 37, -0.947, 0.113, 0.113, 1
4, PM, 4, 37, -0.021, 0.952, 0.955, 1
4, PM, 1, 37, -0.282, 0.524, 0.522, 1
4, PM, 1, 38, -0.292, 0.510, 0.510, 1
4, PM, 3, 38, -0.973, 0.105, 0.108, 0
4, PM, 2, 38, -0.021, 0.952, 0.955, 1
4, PM, 4, 38, -0.022, 0.951, 0.952, 1
4, PM, 2, 39, -0.020, 0.954, 0.955, 0
4, PM, 3, 39, -0.938, 0.115, 0.115, 0
4, PM, 1, 39, -0.298, 0.501, 0.505, 1
4, PM, 4, 39, -0.022, 0.951, 0.951, 1
4, PM, 4, 40, -0.021, 0.952, 0.955, 1
4, PM, 2, 40, -0.022, 0.951, 0.951, 1
4, PM, 1, 40, -0.307, 0.493, 0.494, 0
4, PM, 3, 40, -0.880, 0.131, 0.132, 1
