person, group, rep, n, t, t1, t2, correct
6, PMG, 0, 1, -0.301, 0.458, 0.458, 0
6, PMG, 0, 2, -0.301, 0.458, 0.458, 1
6, PMG, 0, 3, -0.301, 0.458, 0.458, 1
6, PMG, 0, 4, -0.301, 0.458, 0.458, 1
6, PMG, 0, 5, -0.301, 0.458, 0.458, 0
6, PMG, 0, 6, -0.301, 0.458, 0.458, 1
6, PMG, 0, 7, -0.301, 0.458, 0.458, 1
6, PMG, 0, 8, -0.301, 0.458, 0.458, 0
6, PMG, 0, 9, -0.301, 0.458, 0.458, 1
6, PMG, 0, 10, -0.301, 0.458, 0.458, 0
6, PMG, 0, 1, -0.301, 0.458, 0.458, 1
6, PMG, 0, 2, -0.301, 0.458, 0.458, 1
6, PMG, 0, 3, -0.301, 0.458, 0.458, 1
6, PMG, 0, 4, -0.301, 0.458, 0.458, 1
6, PMG, 0, 5, -0.301, 0.458, 0.458, 1
6, PMG, 0, 6, -0.301, 0.458, 0.458, 1
6, PMG, 0, 7, -0.301, 0.458, 0.458, 1
6, PMG, 0, 8, -0.301, 0.458, 0.458, 0
6, PMG, 0, 9, -0.301, 0.458, 0.458, 1
6, PMG, 0, 10, -0.301, 0.458, 0.458, 1
6, PMG, 2, 1, -0.737, 0.183, 0.183, 1
6, PMG, 1, 1, -0.389, 0.408, 0.408, 1
6, PMG, 3, 1, -1.176, 0.067, 0.067, 0
6, PMG, 4, 1, -2.085, 0.008, 0.008, 0
6, PMG, 2, 2, -1.603, 0.025, 0.025, 1
6, PMG, 1, 2, -1.038, 0.092, 0.092, 0
6, PMG, 4, 2, -0.602, 0.250, 0.250, 1
6, PMG, 3, 2, -0.018, 0.958, 0.958, 1
6, PMG, 3, 3, -0.294, 0.508, 0.508, 1
6, PMG, 4, 3, -1.079, 0.083, 0.083, 1
6, PMG, 1, 3, -0.019, 0.958, 0.958, 1
6, PMG, 2, 3, -2.084, 0.008, 0.008, 1
6, PMG, 2, 4, -2.084, 0.008, 0.008, 0
6, PMG, 3, 4, -0.535, 0.292, 0.292, 1
6, PMG, 1, 4, -0.331, 0.467, 0.467, 0
6, PMG, 4, 4, -1.683, 0.025, 0.017, 1
6, PMG, 1, 5, -0.018, 0.958, 0.958, 0
6, PMG, 3, 5, -0.737, 0.183, 0.183, 1
6, PMG, 2, 5, -1.381, 0.042, 0.042, 1
6, PMG, 4, 5, -2.082, 0.008, 0.008, 1
6, PMG, 1, 6, -0.018, 0.958, 0.958, 0
6, PMG, 4, 6, -2.083, 0.008, 0.008, 0
6, PMG, 3, 6, -0.933, 0.117, 0.117, 1
6, PMG, 2, 6, -2.081, 0.008, 0.008, 0
6, PMG, 4, 7, -2.079, 0.008, 0.008, 1
6, PMG, 1, 7, -0.018, 0.958, 0.958, 1
6, PMG, 2, 7, -1.781, 0.017, 0.017, 1
6, PMG, 3, 7, -1.125, 0.075, 0.075, 1
6, PMG, 2, 8, -2.084, 0.008, 0.008, 1
6, PMG, 3, 8, -1.381, 0.042, 0.042, 1
6, PMG, 1, 8, -0.018, 0.958, 0.958, 1
6, PMG, 4, 8, -2.082, 0.008, 0.008, 1
6, PMG, 1, 9, -0.018, 0.958, 0.958, 1
6, PMG, 2, 9, -2.082, 0.008, 0.008, 1
6, PMG, 3, 9, -2.081, 0.008, 0.008, 0
6, PMG, 4, 9, -2.081, 0.008, 0.008, 0
6, PMG, 2, 10, -2.081, 0.008, 0.008, 0
6, PMG, 1, 10, -0.018, 0.958, 0.958, 1
6, PMG, 4, 10, -2.083, 0.008, 0.008, 1
6, PMG, 3, 10, -1.302, 0.050, 0.050, 1
6, PMG, 2, 11, -2.080, 0.008, 0.008, 1
6, PMG, 4, 11, -2.079, 0.008, 0.008, 0
6, PMG, 1, 11, -0.018, 0.958, 0.958, 1
6, PMG, 3, 11, -1.477, 0.033, 0.033, 0
6, PMG, 2, 12, -2.082, 0.008, 0.008, 0
6, PMG, 4, 12, -2.079, 0.008, 0.008, 0
6, PMG, 1, 12, -0.018, 0.958, 0.958, 1
6, PMG, 3, 12, -1.176, 0.067, 0.067, 1
6, PMG, 4, 13, -1.778, 0.017, 0.017, 1
6, PMG, 1, 13, -0.018, 0.958, 0.958, 1
6, PMG, 3, 13, -1.301, 0.050, 0.050, 1
6, PMG, 2, 13, -2.081, 0.008, 0.008, 0
6, PMG, 1, 14, -0.018, 0.958, 0.958, 0
6, PMG, 3, 14, -1.479, 0.033, 0.033, 1
6, PMG, 2, 14, -2.083, 0.008, 0.008, 1
6, PMG, 4, 14, -2.081, 0.008, 0.008, 1
6, PMG, 4, 15, -2.084, 0.008, 0.008, 0
6, PMG, 2, 15, -2.080, 0.008, 0.008, 1
6, PMG, 1, 15, -0.018, 0.958, 0.958, 1
6, PMG, 3, 15, -1.603, 0.025, 0.025, 0
6, PMG, 1, 16, -0.018, 0.958, 0.958, 1
6, PMG, 4, 16, -2.082, 0.008, 0.008, 0
6, PMG, 3, 16, -1.478, 0.033, 0.033, 1
6, PMG, 2, 16, -2.081, 0.008, 0.008, 1
6, PMG, 2, 17, -2.082, 0.008, 0.008, 1
6, PMG, 1, 17, -0.018, 0.958, 0.958, 0
