group,p1,p2,pg,pm,cm,pgg,pmg,pmm,cmm,p4,p4g,p4m,p3,p3m1,p31m,p6,p6m
p1,2,,,,,,,,,,,,,,,,
p2,2,2,,,,,,,,,,,,,,,
pg,2,,2,,,,,,,,,,,,,,
pm,2,,2,2,2,,,,,,,,,,,,
cm,2,,2,2,3,,,,,,,,,,,,
pgg,4,2,2,,,3,,,,,,,,,,,
pmg,4,2,2,2,4,2,3,,,,,,,,,,
pmm,4,2,4,2,4,4,2,2,2,,,,,,,,
cmm,4,2,4,4,2,2,2,2,4,,,,,,,,
p4,4,2,,,,,,,,2,,,,,,,
p4g,8,4,4,8,4,2,4,4,2,2,9,,,,,,
p4m,8,4,8,4,4,4,4,2,2,2,2,2,,,,,
p3,3,,,,,,,,,,,,3,,,,
p3m1,6,,6,6,3,,,,,,,,2,4,3,,
p31m,6,,6,6,3,,,,,,,,2,3,4,,
p6,6,3,,,,,,,,,,,2,,,4,
p6m,12,6,12,12,6,6,6,6,3,,,,4,2,2,2,3
